Generation; PopBestRed; PopBestBlue; PopAvgRed; PopAvgBlue; BestOverallRed; BestOverallBlue
0; 0,4498615; 0; 0,4351731; 0; 0,4498615; 0
1; 0,4523546; 0; 0,4480194; 0; 0,4523546; 0
2; 5,446122; 0; 3,991925; 0; 5,446122; 0
3; 0,4281164; 0; 0,4204224; 0; 0,4281164; 0
4; 0,4137119; 0; 0,408151; 0; 0,4137119; 0
5; 0,4724377; 0; 0,4693144; 0; 0,4724377; 0
6; 0,4548476; 0; 0,4541205; 0; 0,4548476; 0
7; 0,434072; 0; 0,4330748; 0; 0,434072; 0
8; 1,567451; 0; 1,562528; 0; 1,567451; 0
9; 0,4932133; 0; 0,482133; 0; 0,4932133; 0
10; 0,4490305; 0; 0,431946; 0; 0,4490305; 0
11; 0,4556787; 0; 0,445741; 0; 0,4556787; 0
12; 0,4765928; 0; 0,4654986; 0; 0,4765928; 0
13; 2,369668; 0; 2,334266; 0; 2,369668; 0
14; 2,298476; 0; 1,938601; 0; 2,298476; 0
15; 3,558033; 0; 1,738719; 0; 3,558033; 0
16; 0,4814405; 0; 0,4711565; 0; 0,4814405; 0
17; 0,4613574; 0; 0,4485873; 0; 0,4613574; 0
18; 3,545291; 0; 1,632382; 0; 3,545291; 0
19; 3,552493; 0; 2,519031; 0; 3,552493; 0
20; 0,4439058; 0; 0,4294598; 0; 0,4439058; 0
21; 0,4163435; 0; 0,4107548; 0; 0,4163435; 0
22; 3,475762; 0; 1,79982; 0; 3,475762; 0
23; 0,4301939; 0; 0,4280125; 0; 0,4301939; 0
24; 3,239474; 0; 0,5409488; 0; 3,239474; 0
25; 2,2741; 0; 0,6935249; 0; 2,2741; 0
26; 3,214681; 0; 1,009536; 0; 3,214681; 0
27; 3,292382; 0; 1,507375; 0; 3,292382; 0
28; 3,224931; 0; 2,53473; 0; 3,224931; 0
29; 5,174931; 0; 2,195367; 0; 5,174931; 0
30; 3,261496; 0; 2,103781; 0; 3,261496; 0
31; 3,296676; 0; 1,928594; 0; 3,296676; 0
32; 5,248199; 0; 2,155408; 0; 5,248199; 0
33; 3,278116; 0; 2,174196; 0; 3,278116; 0
34; 3,279224; 0; 2,571212; 0; 3,279224; 0
35; 3,27964; 0; 2,227223; 0; 3,27964; 0
36; 3,247784; 0; 2,24365; 0; 3,247784; 0
37; 3,268144; 0; 2,315173; 0; 3,268144; 0
38; 3,26662; 0; 2,26563; 0; 3,26662; 0
39; 3,306371; 0; 2,600582; 0; 3,306371; 0
40; 3,294737; 0; 2,341911; 0; 3,294737; 0
41; 3,228393; 0; 2,126773; 0; 3,228393; 0
42; 3,259972; 0; 2,801295; 0; 3,259972; 0
43; 3,24446; 0; 2,291537; 0; 3,24446; 0
44; 3,310526; 0; 2,458137; 0; 3,310526; 0
45; 3,309695; 0; 2,448574; 0; 3,309695; 0
46; 3,247784; 0; 2,28865; 0; 3,247784; 0
47; 3,245014; 0; 2,234487; 0; 3,245014; 0
48; 3,22964; 0; 2,113546; 0; 3,22964; 0
49; 3,304848; 0; 1,970962; 0; 3,304848; 0
50; 3,304848; 0; 1,970962; 0; 3,304848; 0

