Generation; PopBestRed; PopBestBlue; PopAvgRed; PopAvgBlue; BestOverallRed; BestOverallBlue
0; 7,586427; 0; 2,508504; 0; 7,586427; 0
1; 5,373684; 0; 2,420305; 0; 5,373684; 0
2; 5,552631; 0; 3,044667; 0; 5,552631; 0
3; 5,629086; 0; 3,689294; 0; 5,629086; 0
4; 5,54903; 0; 3,938323; 0; 5,54903; 0
5; 5,559003; 0; 4,453351; 0; 5,559003; 0
6; 3,510526; 0; -0,1553186; 0; 3,510526; 0
7; 5,492244; 0; 3,584003; 0; 5,492244; 0
8; 3,784487; 0; 3,748864; 0; 3,784487; 0
9; 5,568144; 0; 3,541246; 0; 5,568144; 0
10; -0,1825485; 0; -0,1858726; 0; -0,1825485; 0
11; -0,2919668; 0; -0,3215928; 0; -0,2919668; 0
12; 3,742105; 0; 2,583837; 0; 3,742105; 0
13; -0,165374; 0; -0,1829363; 0; -0,165374; 0
14; 9,613851; 0; 5,001205; 0; 9,613851; 0
15; 3,742382; 0; 2,821981; 0; 3,742382; 0
16; 5,612465; 0; 3,505637; 0; 5,612465; 0
17; -0,2623269; 0; -0,2655402; 0; -0,2623269; 0
18; -0,2592798; 0; -0,2620499; 0; -0,2592798; 0
19; 5,604709; 0; 2,710166; 0; 5,604709; 0
20; 5,581995; 0; 3,855222; 0; 5,581995; 0
21; 5,626039; 0; 3,89079; 0; 5,626039; 0
22; 5,564543; 0; 3,849529; 0; 5,564543; 0
23; -0,3224377; 0; -0,3298753; 0; -0,3224377; 0
24; 5,655125; 0; 3,433241; 0; 5,655125; 0
25; 3,74072; 0; 2,701454; 0; 3,74072; 0
26; -0,2473684; 0; -0,2634211; 0; -0,2473684; 0
27; 5,58615; 0; 3,558837; 0; 5,58615; 0
28; 11,6579; 0; 8,751662; 0; 11,6579; 0
29; 5,646537; 0; 3,747189; 0; 5,646537; 0
30; 3,814682; 0; 0,002867054; 0; 3,814682; 0
31; 9,562604; 0; 4,356772; 0; 9,562604; 0
32; 5,590582; 0; 2,887022; 0; 5,590582; 0
33; 5,770083; 0; 0,2174931; 0; 5,770083; 0
34; 5,524377; 0; 0,4509003; 0; 5,524377; 0
35; 7,615235; 0; 3,747936; 0; 7,615235; 0
