Generation; PopBestRed; PopBestBlue; PopAvgRed; PopAvgBlue; BestOverallRed; BestOverallBlue
0; -2,413574; 0; -7,491496; 0; -2,413574; 0
1; -2,626316; 0; -5,579695; 0; -2,626316; 0
2; -4,447369; 0; -7,055332; 0; -4,447369; 0
3; 1,089474; 0; -7,910707; 0; 1,089474; 0
4; -4,45097; 0; -6,178988; 0; -4,45097; 0
5; -2,440997; 0; -3,546649; 0; -2,440997; 0
6; -4,489474; 0; -8,155305; 0; -4,489474; 0
7; -2,507756; 0; -4,416011; 0; -2,507756; 0
8; -8,215512; 0; -8,251136; 0; -8,215512; 0
9; -4,431856; 0; -6,458754; 0; -4,431856; 0
10; -12,18255; 0; -12,18587; 0; -12,18255; 0
11; -8,291966; 0; -8,321579; 0; -8,291966; 0
12; -4,257618; 0; -5,416177; 0; -4,257618; 0
13; -14,16537; 0; -14,18293; 0; -14,16537; 0
14; -0,3861496; 0; -4,098794; 0; -0,3861496; 0
15; -8,257618; 0; -9,277327; 0; -8,257618; 0
16; -4,385595; 0; -5,49554; 0; -4,385595; 0
17; -10,25845; 0; -10,26515; 0; -10,25845; 0
18; -8,255679; 0; -8,260942; 0; -8,255679; 0
19; -2,362881; 0; -3,989543; 0; -2,362881; 0
20; -4,402216; 0; -5,743449; 0; -4,402216; 0
21; -4,386703; 0; -6,507119; 0; -4,386703; 0
22; -2,459834; 0; -4,575208; 0; -2,459834; 0
23; -6,340997; 0; -8,229627; 0; -6,340997; 0
24; -6,356787; 0; -8,577978; 0; -6,356787; 0
25; -6,281717; 0; -7,006219; 0; -6,281717; 0
26; -10,24432; 0; -10,24913; 0; -10,24432; 0
27; -4,409418; 0; -6,225956; 0; -4,409418; 0
28; -0,3506925; 0; -3,655387; 0; -0,3506925; 0
29; -4,322715; 0; -7,755845; 0; -4,322715; 0
30; -14,18144; 0; -14,19969; 0; -14,18144; 0
31; 1,556233; 0; -2,545346; 0; 1,556233; 0
32; -4,372299; 0; -5,910789; 0; -4,372299; 0
33; -8,268421; 0; -8,276953; 0; -8,268421; 0
34; -10,23407; 0; -10,24028; 0; -10,23407; 0
35; -0,4493075; 0; -3,068421; 0; -0,4493075; 0
36; -2,398892; 0; -4,634501; 0; -2,398892; 0
37; -8,278948; 0; -8,286925; 0; -8,278948; 0
38; -2,442659; 0; -3,665526; 0; -2,442659; 0
39; -12,21136; 0; -12,22663; 0; -12,21136; 0
40; -10,25235; 0; -10,25699; 0; -10,25235; 0
41; -6,352909; 0; -9,464016; 0; -6,352909; 0
42; -2,299723; 0; -7,963201; 0; -2,299723; 0
43; -0,3495845; 0; -5,566718; 0; -0,3495845; 0
44; -2,430471; 0; -4,065845; 0; -2,430471; 0
45; -4,401939; 0; -6,424252; 0; -4,401939; 0
46; -2,412188; 0; -6,326912; 0; -2,412188; 0
47; -0,4227147; 0; -1,961011; 0; -0,4227147; 0
48; -2,370083; 0; -5,079501; 0; -2,370083; 0
49; -12,1928; 0; -12,21109; 0; -12,1928; 0
50; -6,401939; 0; -8,700403; 0; -6,401939; 0
51; -12,19058; 0; -12,19935; 0; -12,19058; 0
52; -12,21108; 0; -12,21443; 0; -12,21108; 0
53; -6,352909; 0; -10,0594; 0; -6,352909; 0
54; -4,425762; 0; -5,660692; 0; -4,425762; 0
55; -8,320498; 0; -8,329031; 0; -8,320498; 0
56; -2,37036; 0; -6,438698; 0; -2,37036; 0
57; -2,383657; 0; -4,657243; 0; -2,383657; 0
58; -10,19889; 0; -10,21479; 0; -10,19889; 0
59; -2,456787; 0; -4,598006; 0; -2,456787; 0
60; -2,427147; 0; -4,267147; 0; -2,427147; 0
61; -4,382548; 0; -5,806178; 0; -4,382548; 0
62; -10,27424; 0; -10,29011; 0; -10,27424; 0
63; -0,4426593; 0; -2,358657; 0; -0,4426593; 0
64; -2,405263; 0; -3,929529; 0; -2,405263; 0
65; -8,259833; 0; -8,569888; 0; -8,259833; 0
66; -6,357064; 0; -7,278795; 0; -6,357064; 0
67; -8,321607; 0; -8,324805; 0; -8,321607; 0
68; -2,359834; 0; -4,867354; 0; -2,359834; 0
69; -10,24765; 0; -10,97184; 0; -10,24765; 0
70; -10,24404; 0; -10,27172; 0; -10,24404; 0
71; -2,480886; 0; -4,704266; 0; -2,480886; 0
