Generation; PopBestRed; PopBestBlue; PopAvgRed; PopAvgBlue; BestOverallRed; BestOverallBlue
0; -6,816482; 0; -11,70038; 0; -6,816482; 0
1; -10,77632; 0; -14,82355; 0; -10,77632; 0
2; -3,08975; 0; -5,799529; 0; -3,08975; 0
3; -8,614543; 0; -14,37219; 0; -8,614543; 0
4; 8,265097; 0; -10,21927; 0; 8,265097; 0
5; -10,8097; 0; -13,91666; 0; -10,8097; 0
6; 2,165374; 0; -15,20441; 0; 2,165374; 0
7; -6,681164; 0; -8,82032; 0; -6,681164; 0
8; -5,793352; 0; -9,714792; 0; -5,793352; 0
9; -10,88573; 0; -14,80391; 0; -10,88573; 0
10; -6,740859; 0; -12,11948; 0; -6,740859; 0
11; -6,901939; 0; -10,65918; 0; -6,901939; 0
12; -3,059557; 0; -6,683483; 0; -3,059557; 0
13; -13,81704; 0; -15,07565; 0; -13,81704; 0
14; -3,061357; 0; -5,493393; 0; -3,061357; 0
15; -10,8867; 0; -14,67715; 0; -10,8867; 0
16; -6,994875; 0; -10,3231; 0; -6,994875; 0
17; -7,66759; 0; -14,35693; 0; -7,66759; 0
18; -3,057064; 0; -6,531087; 0; -3,057064; 0
19; -6,772022; 0; -11,2473; 0; -6,772022; 0
20; -7,03241; 0; -10,03218; 0; -7,03241; 0
21; -7,971745; 0; -12,28975; 0; -7,971745; 0
22; -10,94654; 0; -13,94661; 0; -10,94654; 0
23; -2,98518; 0; -6,59516; 0; -2,98518; 0
24; -3,098061; 0; -7,320762; 0; -3,098061; 0
25; -3,163712; 0; -6,764861; 0; -3,163712; 0
26; 0,09847641; 0; -7,004916; 0; 0,09847641; 0
27; -10,8964; 0; -15,18026; 0; -10,8964; 0
28; -3,16205; 0; -7,348116; 0; -3,16205; 0
29; -10,85956; 0; -13,41278; 0; -10,85956; 0
30; -3,056787; 0; -4,448712; 0; -3,056787; 0
31; -10,80706; 0; -13,82703; 0; -10,80706; 0
32; -8,027286; 0; -11,1606; 0; -8,027286; 0
33; -6,90097; 0; -11,63877; 0; -6,90097; 0
34; -3,05457; 0; -6,3698; 0; -3,05457; 0
35; -3,038089; 0; -6,647929; 0; -3,038089; 0
36; -13,66302; 0; -18,02471; 0; -13,66302; 0
37; -6,997784; 0; -9,111953; 0; -6,997784; 0
38; -5,800969; 0; -6,975367; 0; -5,800969; 0
39; -10,86731; 0; -14,50299; 0; -10,86731; 0
40; -3,192936; 0; -6,636571; 0; -3,192936; 0
41; -13,65983; 0; -16,68299; 0; -13,65983; 0
42; -6,876731; 0; -8,855276; 0; -6,876731; 0
43; -5,986565; 0; -7,131094; 0; -5,986565; 0
44; -7,007618; 0; -10,16983; 0; -7,007618; 0
45; -11,86759; 0; -11,88903; 0; -11,86759; 0
46; -2,91856; 0; -5,505548; 0; -2,91856; 0
47; -3,01205; 0; -6,393864; 0; -3,01205; 0
48; -2,963158; 0; -6,906586; 0; -2,963158; 0
49; -16,68269; 0; -19,45945; 0; -16,68269; 0
50; -8,961081; 0; -11,43767; 0; -8,961081; 0
51; -2,918975; 0; -7,144965; 0; -2,918975; 0
52; -2,997645; 0; -6,330783; 0; -2,997645; 0
53; -3,086427; 0; -11,48906; 0; -3,086427; 0
54; -7,030887; 0; -10,19271; 0; -7,030887; 0
55; -3,139196; 0; -6,923373; 0; -3,139196; 0
56; -3,690166; 0; -11,5485; 0; -3,690166; 0
57; -3,023407; 0; -5,530643; 0; -3,023407; 0
58; -3,01205; 0; -6,06777; 0; -3,01205; 0
59; -2,964266; 0; -5,461551; 0; -2,964266; 0
60; -7,514404; 0; -15,05875; 0; -7,514404; 0
61; -0,007756233; 0; -6,730374; 0; -0,007756233; 0
62; -10,77008; 0; -13,69225; 0; -10,77008; 0
63; -7,973961; 0; -12,9841; 0; -7,973961; 0
64; -10,88269; 0; -13,2708; 0; -10,88269; 0
65; -14,84862; 0; -18,13062; 0; -14,84862; 0
66; -3,16662; 0; -5,13268; 0; -3,16662; 0
67; -7,053324; 0; -13,45229; 0; -7,053324; 0
68; -14,77452; 0; -18,91315; 0; -14,77452; 0
69; -7,918837; 0; -13,55785; 0; -7,918837; 0
70; -10,66759; 0; -14,44233; 0; -10,66759; 0
71; -2,926178; 0; -6,059231; 0; -2,926178; 0
72; -6,844183; 0; -18,05243; 0; -6,844183; 0
73; -4,70651; 0; -13,21394; 0; -4,70651; 0
74; -7,77133; 0; -13,71298; 0; -7,77133; 0
75; -2,985042; 0; -6,24437; 0; -2,985042; 0
76; -10,91828; 0; -13,61519; 0; -10,91828; 0
77; -2,85928; 0; -9,394799; 0; -2,85928; 0
78; -7,047507; 0; -15,26472; 0; -7,047507; 0
79; 2,204294; 0; -4,90554; 0; 2,204294; 0
80; -0,7278395; 0; -11,91404; 0; -0,7278395; 0
81; -2,731579; 0; -8,218518; 0; -2,731579; 0
82; 2,978117; 0; -6,914618; 0; 2,978117; 0
83; -5,735872; 0; -8,563795; 0; -5,735872; 0
84; 2,966343; 0; -5,391377; 0; 2,966343; 0
85; -1,731025; 0; -11,7633; 0; -1,731025; 0
86; 3,017313; 0; -3,809993; 0; 3,017313; 0
87; -9,814959; 0; -13,38695; 0; -9,814959; 0
88; -4,572991; 0; -11,29722; 0; -4,572991; 0
89; 6,985734; 0; -2,373089; 0; 6,985734; 0
90; 6,130887; 0; -7,703719; 0; 6,130887; 0
91; -3,312188; 0; -9,652403; 0; -3,312188; 0
92; 0,1358724; 0; -9,369974; 0; 0,1358724; 0
93; -16,97548; 0; -19,50999; 0; -16,97548; 0
94; -10,00748; 0; -15,11107; 0; -10,00748; 0
95; 3,07964; 0; -5,923497; 0; 3,07964; 0
96; 3,043906; 0; -4,142306; 0; 3,043906; 0
97; -6,833241; 0; -9,988123; 0; -6,833241; 0
98; -4,719391; 0; -12,3359; 0; -4,719391; 0
99; 6,167036; 0; -6,185782; 0; 6,167036; 0
100; -13,99917; 0; -18,68121; 0; -13,99917; 0
101; 0,17313; 0; -5,788214; 0; 0,17313; 0
102; -7,104294; 0; -12,12343; 0; -7,104294; 0
103; -7,099585; 0; -10,47196; 0; -7,099585; 0
104; 2,199307; 0; -8,634108; 0; 2,199307; 0
105; -2,939474; 0; -7,219439; 0; -2,939474; 0
106; 2,184072; 0; -11,8432; 0; 2,184072; 0
107; 2,219667; 0; -13,22098; 0; 2,219667; 0
108; -14,85706; 0; -18,79663; 0; -14,85706; 0
109; -3,091413; 0; -5,930568; 0; -3,091413; 0
110; -1,618144; 0; -16,76911; 0; -1,618144; 0
111; -13,51288; 0; -17,38593; 0; -13,51288; 0
112; -10,82161; 0; -13,75175; 0; -10,82161; 0
113; -2,724931; 0; -9,9473; 0; -2,724931; 0
114; 14,09058; 0; -1,923393; 0; 14,09058; 0
115; -9,93061; 0; -14,98754; 0; -9,93061; 0
116; 0,3585873; 0; -9,714814; 0; 0,3585873; 0
117; -10,80305; 0; -13,84908; 0; -10,80305; 0
118; 5,208587; 0; -6,153462; 0; 5,208587; 0
119; 24,46094; 0; -7,359744; 0; 24,46094; 0
120; -19,66787; 0; -19,73026; 0; -19,66787; 0
121; 11,43033; 0; -4,72365; 0; 11,43033; 0
122; -2,956233; 0; -8,248199; 0; -2,956233; 0
123; 9,203463; 0; -0,07864957; 0; 9,203463; 0
124; -13,59335; 0; -16,82364; 0; -13,59335; 0
125; -2,872299; 0; -5,508006; 0; -2,872299; 0
126; -19,52604; 0; -19,59233; 0; -19,52604; 0
127; -3,005956; 0; -6,319426; 0; -3,005956; 0
