Generation; PopBestRed; PopBestBlue; PopAvgRed; PopAvgBlue; BestOverallRed; BestOverallBlue
0; -11,59834; 0; -14,24673; 0; -11,59834; 0
1; -11,41066; 0; -14,90085; 0; -11,41066; 0
2; -8,270083; 0; -11,17922; 0; -8,270083; 0
3; -11,48283; 0; -14,42697; 0; -11,48283; 0
4; -8,526593; 0; -10,94733; 0; -8,526593; 0
5; -12,62424; 0; -14,04471; 0; -12,62424; 0
6; -12,3; 0; -13,9851; 0; -12,3; 0
7; -15,77632; 0; -17,37758; 0; -15,77632; 0
8; -10,05886; 0; -11,49855; 0; -10,05886; 0
9; -9,628809; 0; -10,63479; 0; -9,628809; 0
10; -9,867313; 0; -10,79199; 0; -9,867313; 0
11; -11,53324; 0; -13,78496; 0; -11,53324; 0
12; -9,797646; 0; -10,79337; 0; -9,797646; 0
13; -12,70277; 0; -14,5497; 0; -12,70277; 0
14; -11,11551; 0; -13,44434; 0; -11,11551; 0
15; -12,91621; 0; -17,36247; 0; -12,91621; 0
16; -9,814266; 0; -10,9989; 0; -9,814266; 0
17; -6,873546; 0; -12,85099; 0; -6,873546; 0
18; -9,577562; 0; -11,97729; 0; -9,577562; 0
19; -11,29391; 0; -13,58403; 0; -11,29391; 0
20; -5,556371; 0; -12,71548; 0; -5,556371; 0
21; -6,61759; 0; -10,49157; 0; -6,61759; 0
22; -12,68227; 0; -14,04455; 0; -12,68227; 0
23; -12,73906; 0; -14,02318; 0; -12,73906; 0
24; -10,64446; 0; -13,96555; 0; -10,64446; 0
25; -15,74889; 0; -16,5685; 0; -15,74889; 0
26; -16,1374; 0; -18,15176; 0; -16,1374; 0
27; -13,29197; 0; -13,95747; 0; -13,29197; 0
28; -13,30402; 0; -16,48598; 0; -13,30402; 0
29; -11,09848; 0; -13,46317; 0; -11,09848; 0
30; -8,453324; 0; -14,14607; 0; -8,453324; 0
31; -10,16219; 0; -13,203; 0; -10,16219; 0
32; -9,604432; 0; -11,81272; 0; -9,604432; 0
33; -12,5867; 0; -13,90803; 0; -12,5867; 0
34; -14,30402; 0; -18,03967; 0; -14,30402; 0
35; -12,55997; 0; -13,92505; 0; -12,55997; 0
36; -15,55651; 0; -17,41373; 0; -15,55651; 0
37; -4,242936; 0; -10,85232; 0; -4,242936; 0
