Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,1082.203,0,729.5047,0,1082.203,0
1,1082.203,0,649.4571,0,1082.203,0
2,1082.218,0,635.6266,0,1082.218,0
3,1084.203,0,659.1822,0,1084.203,0
4,1084.204,0,625.1901,0,1084.204,0
5,1085.251,0,678.0481,0,1085.251,0
6,1053.128,0,529.3018,0,1053.128,0
7,1085.252,0,580.7141,0,1085.252,0
8,1085.251,0,555.7203,0,1085.251,0
9,1085.25,0,492.8614,0,1085.25,0
10,1085.252,0,683.0315,0,1085.252,0
11,1085.252,0,587.4119,0,1085.252,0
12,1085.252,0,581.0087,0,1085.252,0
13,1085.248,0,691.7036,0,1085.248,0
14,1085.232,0,621.4161,0,1085.232,0
15,986.0951,0,479.1211,0,986.0951,0
16,998.1024,0,632.2129,0,998.1024,0
17,998.1015,0,481.4416,0,998.1015,0
18,1082.187,0,530.5726,0,1082.187,0
19,1084.19,0,446.3699,0,1084.19,0
20,1082.188,0,451.28,0,1082.188,0
21,1082.188,0,467.1528,0,1082.188,0
22,1085.188,0,509.5151,0,1085.188,0
23,1083.185,0,497.5865,0,1083.185,0
24,1043.198,0,458.2076,0,1043.198,0
25,1082.186,0,486.3109,0,1082.186,0
26,1083.202,0,581.5011,0,1083.202,0
27,1083.201,0,600.8083,0,1083.201,0
28,1083.202,0,720.1333,0,1083.202,0
29,1083.202,0,643.0046,0,1083.202,0
30,1067.171,0,655.1796,0,1067.171,0
31,1083.201,0,523.1708,0,1083.201,0
32,1063.204,0,593.2151,0,1063.204,0
33,1084.193,0,485.4798,0,1084.193,0
34,1084.181,0,558.0015,0,1084.181,0
35,1083.19,0,608.2596,0,1083.19,0
36,1082.19,0,612.9658,0,1082.19,0
37,1084.179,0,460.2729,0,1084.179,0
38,1083.191,0,492.8692,0,1083.191,0
39,1085.199,0,637.5461,0,1085.199,0
40,1085.201,0,590.5811,0,1085.201,0
41,1085.201,0,704.6992,0,1085.201,0
42,1073.18,0,528.3745,0,1073.18,0
43,1073.183,0,565.3072,0,1073.183,0
44,1073.179,0,601.2648,0,1073.179,0
45,1072.181,0,718.3237,0,1072.181,0
46,1072.18,0,533.7418,0,1072.18,0
47,1073.183,0,693.3242,0,1073.183,0
48,1071.182,0,677.1006,0,1071.182,0
49,1075.174,0,793.027,0,1075.174,0
50,1071.179,0,631.436,0,1071.179,0
51,1083.209,0,659.5325,0,1083.209,0
52,1082.204,0,531.8739,0,1082.204,0
53,1072.175,0,719.537,0,1072.175,0
54,1083.214,0,622.4402,0,1083.214,0
55,1083.216,0,568.0726,0,1083.216,0
56,1083.215,0,608.8687,0,1083.215,0
