Generation; PopBestRed; PopBestBlue; PopAvgRed; PopAvgBlue; BestOverallRed; BestOverallBlue
0; -480,0554; 0; -493,0516; 0; -480,0554; 0
1; 14,95568; 0; -542,4434; 0; 14,95568; 0
2; 10,15882; 0; -371,6318; 0; 10,15882; 0
3; 15,06279; 0; -442,6547; 0; 15,06279; 0
4; 4,527239; 0; -451,1818; 0; 4,527239; 0
5; -385,2715; 0; -395,1185; 0; -385,2715; 0
6; -385,397; 0; -392,5117; 0; -385,397; 0
7; -585,2198; 0; -589,7367; 0; -585,2198; 0
8; -585; 0; -590,0485; 0; -585; 0
9; -385,2678; 0; -388,3022; 0; -385,2678; 0
10; -385,6076; 0; -391,0967; 0; -385,6076; 0
11; -585,4044; 0; -591,2903; 0; -585,4044; 0
12; -590,4506; 0; -621,0285; 0; -590,4506; 0
13; -385,674; 0; -399,2231; 0; -385,674; 0
14; -474,9871; 0; -490,7682; 0; -474,9871; 0
15; -285,4506; 0; -306,7241; 0; -285,4506; 0
16; -490,6094; 0; -498,8372; 0; -490,6094; 0
17; -485,0406; 0; -503,3985; 0; -485,0406; 0
18; -485,5743; 0; -490,1177; 0; -485,5743; 0
19; -490,4746; 0; -498,4691; 0; -490,4746; 0
20; -590,4691; 0; -592,2715; 0; -590,4691; 0
21; -385,2844; 0; -388,331; 0; -385,2844; 0
22; -485,4469; 0; -489,4927; 0; -485,4469; 0
23; -385,1699; 0; -389,4887; 0; -385,1699; 0
24; -385,2161; 0; -388,7647; 0; -385,2161; 0
25; -484,9372; 0; -490,1089; 0; -484,9372; 0
26; -585,5651; 0; -597,3214; 0; -585,5651; 0
27; -385,1644; 0; -389,7331; 0; -385,1644; 0
28; -395,5503; 0; -399,9966; 0; -395,5503; 0
29; -380,7221; 0; -390,2454; 0; -380,7221; 0
30; -484,9852; 0; -490,7647; 0; -484,9852; 0
31; -585,4949; 0; -596,9764; 0; -585,4949; 0
32; -390,5706; 0; -398,3369; 0; -390,5706; 0
33; -485,7387; 0; -492,9827; 0; -485,7387; 0
34; -585,1957; 0; -589,778; 0; -585,1957; 0
35; -390,7738; 0; -398,301; 0; -390,7738; 0
36; -385,2604; 0; -390,2529; 0; -385,2604; 0
37; -585,5836; 0; -592,8907; 0; -585,5836; 0
