Generation; PopBestRed; PopBestBlue; PopAvgRed; PopAvgBlue; BestOverallRed; BestOverallBlue
0; -3750; 0; -7840; 0; -3750; 0
1; 200950; 0; 3810; 0; 200950; 0
2; -3100; 0; -5340; 0; -3100; 0
3; -4500; 0; -4567,5; 0; -4500; 0
4; -3550; 0; -10450; 0; -3550; 0
5; -3400; 0; -4017,5; 0; -3400; 0
6; -3150; 0; -3312,5; 0; -3150; 0
7; -4700; 0; -4910; 0; -4700; 0
8; -4400; 0; -4595; 0; -4400; 0
9; -2950; 0; -3335; 0; -2950; 0
10; -2750; 0; -3062,5; 0; -2750; 0
11; -13400; 0; -13702,5; 0; -13400; 0
12; -5050; 0; -5197,5; 0; -5050; 0
13; -12050; 0; -12170; 0; -12050; 0
14; -4000; 0; -4277,5; 0; -4000; 0
15; -1650; 0; -1772,5; 0; -1650; 0
16; -12950; 0; -13092,5; 0; -12950; 0
17; -3500; 0; -3662,5; 0; -3500; 0
18; -4300; 0; -4365; 0; -4300; 0
19; -13250; 0; -13547,5; 0; -13250; 0
20; -5300; 0; -5387,5; 0; -5300; 0
21; -3150; 0; -3262,5; 0; -3150; 0
22; -4250; 0; -4310; 0; -4250; 0
23; -3200; 0; -3250; 0; -3200; 0
24; -2850; 0; -3032,5; 0; -2850; 0
25; -3500; 0; -3885; 0; -3500; 0
26; -14600; 0; -14867,5; 0; -14600; 0
27; -3100; 0; -3270; 0; -3100; 0
28; -12350; 0; -12422,5; 0; -12350; 0
29; -12250; 0; -12680; 0; -12250; 0
30; -2450; 0; -3330; 0; -2450; 0
31; -14450; 0; -15090; 0; -14450; 0
32; -12300; 0; -12400; 0; -12300; 0
33; -13050; 0; -13225; 0; -13050; 0
34; -4850; 0; -5022,5; 0; -4850; 0
35; -12200; 0; -12307,5; 0; -12200; 0
36; -3200; 0; -3340; 0; -3200; 0
37; -13700; 0; -13842,5; 0; -13700; 0
38; -5150; 0; -5375; 0; -5150; 0
39; -3700; 0; -3820; 0; -3700; 0
40; -4150; 0; -4275; 0; -4150; 0
41; -13150; 0; -13672,5; 0; -13150; 0
42; -3950; 0; -4335; 0; -3950; 0
43; -12800; 0; -12937,5; 0; -12800; 0
44; -5100; 0; -5240; 0; -5100; 0
45; -4150; 0; -4355; 0; -4150; 0
46; -4150; 0; -4297,5; 0; -4150; 0
47; -13300; 0; -13540; 0; -13300; 0
48; -5000; 0; -5250; 0; -5000; 0
49; -12700; 0; -12832,5; 0; -12700; 0
50; -4400; 0; -4650; 0; -4400; 0
51; -4200; 0; -12292,5; 0; -4200; 0
52; -4800; 0; -4992,5; 0; -4800; 0
53; -5100; 0; -13635; 0; -5100; 0
54; -3400; 0; -11762,5; 0; -3400; 0
55; -2650; 0; -8790; 0; -2650; 0
56; -2850; 0; -3410; 0; -2850; 0
57; -12900; 0; -13730; 0; -12900; 0
58; -2950; 0; -3707,5; 0; -2950; 0
59; -4450; 0; -4645; 0; -4450; 0
60; -3250; 0; -3312,5; 0; -3250; 0
61; -12350; 0; -12535; 0; -12350; 0
62; -3300; 0; -3855; 0; -3300; 0
63; -5250; 0; -5975; 0; -5250; 0
64; -1800; 0; -2735; 0; -1800; 0
65; -2600; 0; -8205; 0; -2600; 0
66; -4200; 0; -4400; 0; -4200; 0
67; -6300; 0; -6477,5; 0; -6300; 0
68; -2300; 0; -5740; 0; -2300; 0
69; -4150; 0; -4347,5; 0; -4150; 0
70; -3050; 0; -3212,5; 0; -3050; 0
71; -3300; 0; -3865; 0; -3300; 0
72; -4250; 0; -4420; 0; -4250; 0
73; -2700; 0; -2935; 0; -2700; 0
74; -2050; 0; -3205; 0; -2050; 0
75; -6250; 0; -6345; 0; -6250; 0
76; -5350; 0; -5402,5; 0; -5350; 0
77; -13200; 0; -13272,5; 0; -13200; 0
78; -4300; 0; -4320; 0; -4300; 0
79; -4350; 0; -4402,5; 0; -4350; 0
80; -12700; 0; -12872,5; 0; -12700; 0
81; -2650; 0; -2907,5; 0; -2650; 0
82; -3150; 0; -3195; 0; -3150; 0
83; -3100; 0; -3310; 0; -3100; 0
84; -4150; 0; -4372,5; 0; -4150; 0
85; -4150; 0; -4390; 0; -4150; 0
86; -12850; 0; -13045; 0; -12850; 0
87; -4300; 0; -4365; 0; -4300; 0
88; -4350; 0; -4405; 0; -4350; 0
89; -4150; 0; -4232,5; 0; -4150; 0
90; -13450; 0; -13620; 0; -13450; 0
91; -3450; 0; -4125; 0; -3450; 0
92; -3100; 0; -3350; 0; -3100; 0
93; -12450; 0; -12800; 0; -12450; 0
94; -3900; 0; -4297,5; 0; -3900; 0
95; -12950; 0; -13575; 0; -12950; 0
96; -3150; 0; -3352,5; 0; -3150; 0
97; -12750; 0; -12970; 0; -12750; 0
98; -3750; 0; -4270; 0; -3750; 0
99; -5250; 0; -5385; 0; -5250; 0
100; -4200; 0; -4385; 0; -4200; 0
101; -3200; 0; -4335; 0; -3200; 0
102; -4100; 0; -4247,5; 0; -4100; 0
103; -12800; 0; -12942,5; 0; -12800; 0
104; -5050; 0; -5385; 0; -5050; 0
105; -13750; 0; -14267,5; 0; -13750; 0
106; -13050; 0; -13342,5; 0; -13050; 0
107; -3350; 0; -3925; 0; -3350; 0
108; -5300; 0; -5385; 0; -5300; 0
109; -13350; 0; -13467,5; 0; -13350; 0
110; -3150; 0; -3370; 0; -3150; 0
111; -5800; 0; -5992,5; 0; -5800; 0
112; -3900; 0; -4112,5; 0; -3900; 0
113; -2400; 0; -2835; 0; -2400; 0
114; -6150; 0; -6245; 0; -6150; 0
115; -5850; 0; -6042,5; 0; -5850; 0
116; -2350; 0; -7465; 0; -2350; 0
117; -2300; 0; -2815; 0; -2300; 0
118; -3050; 0; -3227,5; 0; -3050; 0
119; -12400; 0; -12477,5; 0; -12400; 0
120; -3300; 0; -3345; 0; -3300; 0
121; -12100; 0; -12180; 0; -12100; 0
122; -12750; 0; -12817,5; 0; -12750; 0
123; -3300; 0; -3365; 0; -3300; 0
124; -12300; 0; -12720; 0; -12300; 0
125; -3550; 0; -3760; 0; -3550; 0
126; -4700; 0; -5182,5; 0; -4700; 0
127; -13050; 0; -13260; 0; -13050; 0
128; -12200; 0; -12365; 0; -12200; 0
129; -3250; 0; -3907,5; 0; -3250; 0
130; -3100; 0; -3275; 0; -3100; 0
131; -2850; 0; -3090; 0; -2850; 0
132; -2800; 0; -3165; 0; -2800; 0
133; -1800; 0; -1975; 0; -1800; 0
134; -11950; 0; -12060; 0; -11950; 0
135; -3150; 0; -3270; 0; -3150; 0
136; -12750; 0; -12840; 0; -12750; 0
137; -13800; 0; -13870; 0; -13800; 0
138; -13450; 0; -13600; 0; -13450; 0
139; -4250; 0; -4425; 0; -4250; 0
140; -1850; 0; -2650; 0; -1850; 0
141; -2650; 0; -2847,5; 0; -2650; 0
142; -4850; 0; -5030; 0; -4850; 0
143; -13100; 0; -13297,5; 0; -13100; 0
144; -11950; 0; -12062,5; 0; -11950; 0
145; -4350; 0; -4417,5; 0; -4350; 0
146; -1650; 0; -2282,5; 0; -1650; 0
147; -4250; 0; -4390; 0; -4250; 0
148; -3250; 0; -3365; 0; -3250; 0
149; -2450; 0; -2750; 0; -2450; 0
150; -13400; 0; -13575; 0; -13400; 0
151; -13600; 0; -13717,5; 0; -13600; 0
152; -13750; 0; -13895; 0; -13750; 0
153; -1750; 0; -2637,5; 0; -1750; 0
154; -4150; 0; -12665; 0; -4150; 0
155; -3300; 0; -3962,5; 0; -3300; 0
156; -4300; 0; -4485; 0; -4300; 0
157; -13000; 0; -13357,5; 0; -13000; 0
158; -13450; 0; -13495; 0; -13450; 0
159; -4550; 0; -4747,5; 0; -4550; 0
160; -2550; 0; -2852,5; 0; -2550; 0
161; -13750; 0; -13770; 0; -13750; 0
162; -3450; 0; -3745; 0; -3450; 0
163; -3650; 0; -4130; 0; -3650; 0
164; -2200; 0; -8297,5; 0; -2200; 0
165; -3700; 0; -4945; 0; -3700; 0
166; -13400; 0; -13577,5; 0; -13400; 0
167; -5200; 0; -5380; 0; -5200; 0
168; -3650; 0; -7772,5; 0; -3650; 0
169; -13750; 0; -13977,5; 0; -13750; 0
170; -3600; 0; -3990; 0; -3600; 0
171; -3300; 0; -3372,5; 0; -3300; 0
172; -4100; 0; -4255; 0; -4100; 0
173; -2450; 0; -2690; 0; -2450; 0
174; -3300; 0; -12155; 0; -3300; 0
175; -5200; 0; -5327,5; 0; -5200; 0
176; -1400; 0; -2087,5; 0; -1400; 0
177; -2600; 0; -3102,5; 0; -2600; 0
178; -12900; 0; -13512,5; 0; -12900; 0
179; -3700; 0; -5025; 0; -3700; 0
180; -2400; 0; -5327,5; 0; -2400; 0
181; -3150; 0; -3345; 0; -3150; 0
182; -13150; 0; -13340; 0; -13150; 0
183; -4300; 0; -4360; 0; -4300; 0
184; -2900; 0; -11965; 0; -2900; 0
185; -3100; 0; -3320; 0; -3100; 0
186; -3550; 0; -3847,5; 0; -3550; 0
187; -1900; 0; -10850; 0; -1900; 0
188; -4500; 0; -4985; 0; -4500; 0
189; -4350; 0; -4412,5; 0; -4350; 0
190; -2900; 0; -3337,5; 0; -2900; 0
191; -13950; 0; -14570; 0; -13950; 0
192; -13750; 0; -14222,5; 0; -13750; 0
193; -3150; 0; -3367,5; 0; -3150; 0
194; -2900; 0; -5772,5; 0; -2900; 0
195; -3800; 0; -3987,5; 0; -3800; 0
196; -4050; 0; -6030; 0; -4050; 0
197; -2950; 0; -3217,5; 0; -2950; 0
198; -3400; 0; -3927,5; 0; -3400; 0
199; -2850; 0; -3045; 0; -2850; 0
200; -2150; 0; -6295; 0; -2150; 0
201; -2850; 0; -3965; 0; -2850; 0
202; -1800; 0; -3522,5; 0; -1800; 0
203; -2250; 0; -2935; 0; -2250; 0
204; -2400; 0; -3000; 0; -2400; 0
205; -5350; 0; -5895; 0; -5350; 0
206; -3100; 0; -6142,5; 0; -3100; 0
207; -14100; 0; -14865; 0; -14100; 0
208; -1950; 0; -9245; 0; -1950; 0
209; -2350; 0; -5005; 0; -2350; 0
210; -13450; 0; -14065; 0; -13450; 0
211; -4550; 0; -5140; 0; -4550; 0
212; -4100; 0; -4370; 0; -4100; 0
213; 500; 0; -4390; 0; 500; 0
214; -3200; 0; -3585; 0; -3200; 0
215; -2000; 0; -2592,5; 0; -2000; 0
216; -3500; 0; -4860; 0; -3500; 0
217; -13500; 0; -13950; 0; -13500; 0
218; -12350; 0; -12615; 0; -12350; 0
219; -3500; 0; -9220; 0; -3500; 0
220; -2900; 0; -10605; 0; -2900; 0
221; -12200; 0; -12457,5; 0; -12200; 0
222; -3100; 0; -3307,5; 0; -3100; 0
223; -2000; 0; -6982,5; 0; -2000; 0
224; -4100; 0; -4455; 0; -4100; 0
225; -3250; 0; -3395; 0; -3250; 0
226; -3300; 0; -9700; 0; -3300; 0
227; -3150; 0; -3400; 0; -3150; 0
228; -1250; 0; -1972,5; 0; -1250; 0
229; -5150; 0; -5332,5; 0; -5150; 0
230; -2400; 0; -10947,5; 0; -2400; 0
231; -2900; 0; -12022,5; 0; -2900; 0
232; -1550; 0; -7042,5; 0; -1550; 0
233; -3200; 0; -5870; 0; -3200; 0
234; -2600; 0; -2992,5; 0; -2600; 0
235; -3650; 0; -9325; 0; -3650; 0
236; -13650; 0; -14622,5; 0; -13650; 0
237; -2050; 0; -2847,5; 0; -2050; 0
238; -2950; 0; -12050; 0; -2950; 0
239; -5250; 0; -5400; 0; -5250; 0
240; -5150; 0; -5352,5; 0; -5150; 0
241; -2200; 0; -12020; 0; -2200; 0
242; -13050; 0; -13652,5; 0; -13050; 0
243; -3150; 0; -3322,5; 0; -3150; 0
244; -2200; 0; -11325; 0; -2200; 0
245; -4300; 0; -4390; 0; -4300; 0
246; -3200; 0; -3327,5; 0; -3200; 0
247; -3250; 0; -4095; 0; -3250; 0
248; -2550; 0; -2765; 0; -2550; 0
249; -5300; 0; -5360; 0; -5300; 0
250; -1850; 0; -2550; 0; -1850; 0
251; -4150; 0; -4270; 0; -4150; 0
252; -12150; 0; -12425; 0; -12150; 0
253; -5300; 0; -5360; 0; -5300; 0
254; -1900; 0; -2750; 0; -1900; 0
255; -3450; 0; -4430; 0; -3450; 0
256; -12600; 0; -12935; 0; -12600; 0
257; -2100; 0; -10370; 0; -2100; 0
258; -3200; 0; -3860; 0; -3200; 0
259; -4500; 0; -5225; 0; -4500; 0
260; -2650; 0; -3110; 0; -2650; 0
261; -5200; 0; -5400; 0; -5200; 0
262; -2400; 0; -3417,5; 0; -2400; 0
263; -3400; 0; -13410; 0; -3400; 0
264; -12150; 0; -12432,5; 0; -12150; 0
265; -14250; 0; -14740; 0; -14250; 0
266; -5200; 0; -5342,5; 0; -5200; 0
267; -3900; 0; -4210; 0; -3900; 0
268; -12400; 0; -12600; 0; -12400; 0
269; -4800; 0; -5215; 0; -4800; 0
270; -2600; 0; -3205; 0; -2600; 0
271; -13300; 0; -13887,5; 0; -13300; 0
272; -3600; 0; -3955; 0; -3600; 0
273; -4350; 0; -5167,5; 0; -4350; 0
274; -3250; 0; -12770; 0; -3250; 0
275; -2950; 0; -12675; 0; -2950; 0
276; -3350; 0; -3385; 0; -3350; 0
277; -2350; 0; -2640; 0; -2350; 0
278; -3200; 0; -3392,5; 0; -3200; 0
279; -4300; 0; -4527,5; 0; -4300; 0
280; -2850; 0; -9080; 0; -2850; 0
281; -3500; 0; -6192,5; 0; -3500; 0
282; -5300; 0; -5342,5; 0; -5300; 0
283; -2400; 0; -2772,5; 0; -2400; 0
284; -12600; 0; -12902,5; 0; -12600; 0
285; -12250; 0; -12620; 0; -12250; 0
286; -4150; 0; -4935; 0; -4150; 0
287; -13550; 0; -13942,5; 0; -13550; 0
288; -1800; 0; -2445; 0; -1800; 0
289; -2300; 0; -3347,5; 0; -2300; 0
290; -5000; 0; -5102,5; 0; -5000; 0
291; -12800; 0; -13935; 0; -12800; 0
292; -12800; 0; -13237,5; 0; -12800; 0
293; -3800; 0; -4225; 0; -3800; 0
294; -4600; 0; -5015; 0; -4600; 0
295; -4050; 0; -13640; 0; -4050; 0
296; -2600; 0; -9332,5; 0; -2600; 0
297; -2200; 0; -11457,5; 0; -2200; 0
298; -5300; 0; -5450; 0; -5300; 0
299; -2700; 0; -11117,5; 0; -2700; 0
300; -3000; 0; -3582,5; 0; -3000; 0
301; -2400; 0; -11437,5; 0; -2400; 0
302; -5100; 0; -5395; 0; -5100; 0
303; -13000; 0; -13322,5; 0; -13000; 0
304; -3550; 0; -3945; 0; -3550; 0
305; -1900; 0; -2955; 0; -1900; 0
306; -4350; 0; -4907,5; 0; -4350; 0
307; -2850; 0; -10985; 0; -2850; 0
308; -14550; 0; -14905; 0; -14550; 0
309; -2600; 0; -2940; 0; -2600; 0
310; -4950; 0; -5192,5; 0; -4950; 0
311; -2250; 0; -2575; 0; -2250; 0
312; -3450; 0; -6332,5; 0; -3450; 0
313; -4050; 0; -4752,5; 0; -4050; 0
