Generation; PopBestRed; PopBestBlue; PopAvgRed; PopAvgBlue; BestOverallRed; BestOverallBlue
0; -3750; 0; -7840; 0; -3750; 0
1; -2150; 0; -8772,5; 0; -2150; 0
2; -4150; 0; -5420; 0; -4150; 0
3; -3850; 0; -4275; 0; -3850; 0
4; -3350; 0; -3530; 0; -3350; 0
5; -4200; 0; -13177,5; 0; -4200; 0
6; -2950; 0; -3835; 0; -2950; 0
7; -4450; 0; -12837,5; 0; -4450; 0
8; -3200; 0; -9617,5; 0; -3200; 0
9; -3250; 0; -4457,5; 0; -3250; 0
10; -3900; 0; -4052,5; 0; -3900; 0
11; -4350; 0; -5915; 0; -4350; 0
12; -3100; 0; -3390; 0; -3100; 0
13; -3250; 0; -4795; 0; -3250; 0
14; -1500; 0; -3922,5; 0; -1500; 0
15; -2700; 0; -5302,5; 0; -2700; 0
16; -2300; 0; -11712,5; 0; -2300; 0
17; -3100; 0; -9732,5; 0; -3100; 0
18; -1350; 0; -3622,5; 0; -1350; 0
19; 201000; 0; 5895; 0; 201000; 0
20; -1700; 0; -7272,5; 0; -1700; 0
21; 200400; 0; 4412,5; 0; 200400; 0
22; -3100; 0; -9892,5; 0; -3100; 0
23; -5100; 0; -9170; 0; -5100; 0
24; -2500; 0; -6995; 0; -2500; 0
25; 700; 0; -3377,5; 0; 700; 0
26; -4000; 0; -12182,5; 0; -4000; 0
27; -2450; 0; -12150; 0; -2450; 0
28; 201700; 0; 4285; 0; 201700; 0
29; -3350; 0; -5215; 0; -3350; 0
30; -2950; 0; -7995; 0; -2950; 0
31; -2900; 0; -7462,5; 0; -2900; 0
32; 200550; 0; 5327,5; 0; 200550; 0
33; 200500; 0; 3435; 0; 200500; 0
34; 202800; 0; 15285; 0; 202800; 0
35; -2600; 0; -12385; 0; -2600; 0
36; 211950; 0; 28772,5; 0; 211950; 0
37; 200500; 0; 47342,5; 0; 200500; 0
38; -3100; 0; -12625; 0; -3100; 0
39; -3200; 0; -8947,5; 0; -3200; 0
40; -3350; 0; -8305; 0; -3350; 0
41; -3200; 0; -3910; 0; -3200; 0
42; -3150; 0; -6710; 0; -3150; 0
43; -4100; 0; -4692,5; 0; -4100; 0
44; -4150; 0; -12315; 0; -4150; 0
45; -3300; 0; -8067,5; 0; -3300; 0
46; 200500; 0; 16365; 0; 200500; 0
47; 200500; 0; 98520; 0; 200500; 0
48; 200950; 0; 109182,5; 0; 200950; 0
49; 200650; 0; 170105; 0; 200650; 0
50; 202000; 0; 151040; 0; 202000; 0
51; 200600; 0; 138867,5; 0; 200600; 0
52; -3700; 0; -13082,5; 0; -3700; 0
53; -3250; 0; -11927,5; 0; -3250; 0
54; -2150; 0; -6650; 0; -2150; 0
55; -4350; 0; -4490; 0; -4350; 0
