Generation; PopBestRed; PopBestBlue; PopAvgRed; PopAvgBlue; BestOverallRed; BestOverallBlue
0; -3700; 0; -8140; 0; -3700; 0
1; -3400; 0; -5122,5; 0; -3400; 0
2; -3300; 0; -3910; 0; -3300; 0
3; -3400; 0; -3772,5; 0; -3400; 0
4; -1950; 0; -3407,5; 0; -1950; 0
5; 200850; 0; 17077,5; 0; 200850; 0
6; 200850; 0; 78220; 0; 200850; 0
7; 200850; 0; 139637,5; 0; 200850; 0
8; 200850; 0; 138992,5; 0; 200850; 0
9; 200850; 0; 137832,5; 0; 200850; 0
10; 200850; 0; 190507,5; 0; 200850; 0
11; 201000; 0; 149215; 0; 201000; 0
12; 201000; 0; 150012,5; 0; 201000; 0
13; 201000; 0; 180550; 0; 201000; 0
14; 201100; 0; 118950; 0; 201100; 0
15; 201000; 0; 150212,5; 0; 201000; 0
16; 201000; 0; 180520; 0; 201000; 0
17; 201000; 0; 140025; 0; 201000; 0
18; 200950; 0; 99280; 0; 200950; 0
19; 200950; 0; 150205; 0; 200950; 0
20; 201000; 0; 160415; 0; 201000; 0
21; 201000; 0; 140027,5; 0; 201000; 0
22; 201000; 0; 150227,5; 0; 201000; 0
23; 200950; 0; 180600; 0; 200950; 0
24; 200950; 0; 200877,5; 0; 200950; 0
25; 200950; 0; 150002,5; 0; 200950; 0
26; 200950; 0; 140305; 0; 200950; 0
27; 200950; 0; 140130; 0; 200950; 0
28; 200950; 0; 170510; 0; 200950; 0
29; 200950; 0; 160275; 0; 200950; 0
30; 201000; 0; 109572,5; 0; 201000; 0
31; 201000; 0; 140055; 0; 201000; 0
32; 201000; 0; 150320; 0; 201000; 0
33; 201000; 0; 119882,5; 0; 201000; 0
34; 200950; 0; 120005; 0; 200950; 0
35; 200950; 0; 160537,5; 0; 200950; 0
36; 200950; 0; 170410; 0; 200950; 0
37; 200950; 0; 140175; 0; 200950; 0
38; 201000; 0; 129797,5; 0; 201000; 0
39; 200950; 0; 160367,5; 0; 200950; 0
40; 200950; 0; 150370; 0; 200950; 0
41; 201050; 0; 140175; 0; 201050; 0
42; 200950; 0; 120062,5; 0; 200950; 0
43; 200950; 0; 160510; 0; 200950; 0
44; 200950; 0; 180512,5; 0; 200950; 0
45; 201000; 0; 190830; 0; 201000; 0
46; 200950; 0; 180582,5; 0; 200950; 0
47; 200950; 0; 160260; 0; 200950; 0
48; 200950; 0; 160167,5; 0; 200950; 0
49; 201000; 0; 130225; 0; 201000; 0
50; 201000; 0; 200887,5; 0; 201000; 0
51; 200950; 0; 180530; 0; 200950; 0
52; 200950; 0; 190662,5; 0; 200950; 0
53; 201050; 0; 140160; 0; 201050; 0
54; 201000; 0; 150380; 0; 201000; 0
55; 200900; 0; 200820; 0; 200900; 0
56; 201000; 0; 160355; 0; 201000; 0
57; 201200; 0; 180657,5; 0; 201200; 0
58; 201200; 0; 170317,5; 0; 201200; 0
59; 201000; 0; 180567,5; 0; 201000; 0
60; 201000; 0; 190670; 0; 201000; 0
61; 201200; 0; 180620; 0; 201200; 0
62; 201200; 0; 180792,5; 0; 201200; 0
63; 201200; 0; 190837,5; 0; 201200; 0
64; 201000; 0; 180677,5; 0; 201000; 0
65; 201200; 0; 190900; 0; 201200; 0
66; 201200; 0; 190930; 0; 201200; 0
67; 201000; 0; 190780; 0; 201000; 0
68; 201000; 0; 180497,5; 0; 201000; 0
69; 201200; 0; 190920; 0; 201200; 0
70; 201200; 0; 190862,5; 0; 201200; 0
71; 201000; 0; 190795; 0; 201000; 0
72; 201000; 0; 180625; 0; 201000; 0
73; 201200; 0; 201062,5; 0; 201200; 0
74; 201200; 0; 190940; 0; 201200; 0
75; 201200; 0; 190720; 0; 201200; 0
76; 201000; 0; 190807,5; 0; 201000; 0
77; 201200; 0; 140460; 0; 201200; 0
78; 201200; 0; 180747,5; 0; 201200; 0
79; 201200; 0; 200907,5; 0; 201200; 0
80; 201100; 0; 190820; 0; 201100; 0
81; 201000; 0; 170367,5; 0; 201000; 0
82; 201200; 0; 170545; 0; 201200; 0
83; 201000; 0; 190757,5; 0; 201000; 0
84; 201100; 0; 190655; 0; 201100; 0
85; 201050; 0; 180577,5; 0; 201050; 0
86; 201050; 0; 200877,5; 0; 201050; 0
87; 200950; 0; 170390; 0; 200950; 0
88; 201000; 0; 160522,5; 0; 201000; 0
89; 201000; 0; 150210; 0; 201000; 0
90; 201000; 0; 170327,5; 0; 201000; 0
91; 201000; 0; 170235; 0; 201000; 0
92; 201000; 0; 190660; 0; 201000; 0
93; 201000; 0; 130245; 0; 201000; 0
94; 201000; 0; 150332,5; 0; 201000; 0
95; 201000; 0; 170560; 0; 201000; 0
96; 201000; 0; 180762,5; 0; 201000; 0
97; 201000; 0; 160297,5; 0; 201000; 0
98; 201000; 0; 180612,5; 0; 201000; 0
99; 201000; 0; 170360; 0; 201000; 0
100; 201000; 0; 190835; 0; 201000; 0
101; 201000; 0; 170700; 0; 201000; 0
102; 201000; 0; 160497,5; 0; 201000; 0
103; 201000; 0; 180532,5; 0; 201000; 0
104; 200900; 0; 190740; 0; 200900; 0
105; 201050; 0; 180457,5; 0; 201050; 0
106; 201050; 0; 160347,5; 0; 201050; 0
107; 200950; 0; 200825; 0; 200950; 0
108; 200950; 0; 170517,5; 0; 200950; 0
109; 201100; 0; 180580; 0; 201100; 0
110; 201050; 0; 170442,5; 0; 201050; 0
111; 200950; 0; 190740; 0; 200950; 0
112; 200950; 0; 170615; 0; 200950; 0
113; 200950; 0; 180602,5; 0; 200950; 0
114; 200950; 0; 160217,5; 0; 200950; 0
115; 201000; 0; 190647,5; 0; 201000; 0
116; 201000; 0; 190820; 0; 201000; 0
117; 201000; 0; 170562,5; 0; 201000; 0
118; 200950; 0; 160355; 0; 200950; 0
119; 200950; 0; 180507,5; 0; 200950; 0
120; 201000; 0; 170642,5; 0; 201000; 0
121; 200950; 0; 170535; 0; 200950; 0
122; 200950; 0; 200887,5; 0; 200950; 0
123; 201000; 0; 180692,5; 0; 201000; 0
124; 201200; 0; 180467,5; 0; 201200; 0
125; 201150; 0; 180545; 0; 201150; 0
126; 201000; 0; 190700; 0; 201000; 0
127; 201200; 0; 190737,5; 0; 201200; 0
128; 201200; 0; 200980; 0; 201200; 0
129; 201150; 0; 180412,5; 0; 201150; 0
130; 201050; 0; 170547,5; 0; 201050; 0
131; 201400; 0; 201037,5; 0; 201400; 0
