Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;-2250;0;-11815;0;-2250;0
1;-5100;0;-6945;0;-5100;0
2;-2950;0;-3760;0;-2950;0
3;-2300;0;-10652.5;0;-2300;0
4;-3500;0;-4467.5;0;-3500;0
5;-3750;0;-11455;0;-3750;0
6;-2200;0;-6010;0;-2200;0
7;-5250;0;-5480;0;-5250;0
8;-5400;0;-5492.5;0;-5400;0
9;-3200;0;-3380;0;-3200;0
10;-5100;0;-5207.5;0;-5100;0
11;-2550;0;-5227.5;0;-2550;0
12;-3950;0;-4207.5;0;-3950;0
13;-3050;0;-3210;0;-3050;0
14;-3100;0;-3297.5;0;-3100;0
15;-2650;0;-3615;0;-2650;0
16;-3150;0;-3375;0;-3150;0
17;-13450;0;-13552.5;0;-13450;0
18;-3100;0;-3260;0;-3100;0
19;-4200;0;-4292.5;0;-4200;0
20;-3200;0;-3260;0;-3200;0
21;-3800;0;-4300;0;-3800;0
22;-4200;0;-4327.5;0;-4200;0
23;-12300;0;-12375;0;-12300;0
24;-3300;0;-3340;0;-3300;0
25;-3950;0;-4277.5;0;-3950;0
26;-4150;0;-4375;0;-4150;0
27;-5200;0;-5362.5;0;-5200;0
28;-3350;0;-4562.5;0;-3350;0
29;-12900;0;-13602.5;0;-12900;0
30;-3300;0;-3370;0;-3300;0
31;-3250;0;-3307.5;0;-3250;0
32;-2150;0;-4255;0;-2150;0
33;-4000;0;-4142.5;0;-4000;0
34;-2800;0;-2945;0;-2800;0
35;-4400;0;-13060;0;-4400;0
36;-3000;0;-4680;0;-3000;0
37;-3000;0;-8357.5;0;-3000;0
38;-3150;0;-3302.5;0;-3150;0
39;-13000;0;-13180;0;-13000;0
40;-2450;0;-2697.5;0;-2450;0
41;-1950;0;-3082.5;0;-1950;0
42;-1850;0;-2945;0;-1850;0
43;-12950;0;-13152.5;0;-12950;0
44;-3550;0;-3732.5;0;-3550;0
45;-2600;0;-3145;0;-2600;0
46;-1500;0;-2417.5;0;-1500;0
47;-12300;0;-12455;0;-12300;0
48;-3450;0;-11975;0;-3450;0
49;-2600;0;-2887.5;0;-2600;0
50;-4350;0;-4497.5;0;-4350;0
51;-2500;0;-3362.5;0;-2500;0
52;-13900;0;-14060;0;-13900;0
53;-1100;0;-2437.5;0;-1100;0
54;-5000;0;-5232.5;0;-5000;0
55;-1750;0;-2657.5;0;-1750;0
56;-2550;0;-2705;0;-2550;0
57;-3000;0;-3287.5;0;-3000;0
58;-4350;0;-4410;0;-4350;0
59;-2350;0;-3120;0;-2350;0
60;-4950;0;-5052.5;0;-4950;0
61;-13550;0;-13792.5;0;-13550;0
62;-5150;0;-5982.5;0;-5150;0
63;-3450;0;-12027.5;0;-3450;0
64;-4150;0;-4390;0;-4150;0
65;-4150;0;-4895;0;-4150;0
66;-2550;0;-2760;0;-2550;0
67;-3900;0;-5217.5;0;-3900;0
68;-12250;0;-12382.5;0;-12250;0
69;-3800;0;-4277.5;0;-3800;0
70;-12400;0;-12557.5;0;-12400;0
71;-2700;0;-12190;0;-2700;0
72;-12050;0;-12435;0;-12050;0
73;-13000;0;-13100;0;-13000;0
74;-2750;0;-3350;0;-2750;0
75;-3100;0;-3835;0;-3100;0
76;-12950;0;-13007.5;0;-12950;0
77;-4250;0;-6022.5;0;-4250;0
78;-2200;0;-3330;0;-2200;0
79;-3300;0;-3440;0;-3300;0
80;-4200;0;-4515;0;-4200;0
81;-13150;0;-13380;0;-13150;0
82;-1800;0;-2480;0;-1800;0
83;-12100;0;-12302.5;0;-12100;0
84;-2600;0;-4070;0;-2600;0
85;-3300;0;-3365;0;-3300;0
86;-12050;0;-12075;0;-12050;0
87;-2600;0;-12182.5;0;-2600;0
88;-3850;0;-4122.5;0;-3850;0
89;-4100;0;-4237.5;0;-4100;0
90;-4750;0;-4870;0;-4750;0
91;-1650;0;-1820;0;-1650;0
92;-1500;0;-2355;0;-1500;0
93;-12400;0;-12532.5;0;-12400;0
94;-2650;0;-2845;0;-2650;0
95;-2250;0;-6175;0;-2250;0
96;-12000;0;-12072.5;0;-12000;0
97;-3150;0;-3317.5;0;-3150;0
98;-2450;0;-3365;0;-2450;0
99;200450;0;6015;0;200450;0
100;-3900;0;-12257.5;0;-3900;0
101;-2150;0;-4402.5;0;-2150;0
102;-1050;0;-2745;0;-1050;0
103;-13350;0;-14067.5;0;-13350;0
104;-5300;0;-5942.5;0;-5300;0
105;-1750;0;-4425;0;-1750;0
106;-4100;0;-12747.5;0;-4100;0
107;-3700;0;-4535;0;-3700;0
108;-3300;0;-4975;0;-3300;0
109;-2950;0;-3790;0;-2950;0
110;-3100;0;-4850;0;-3100;0
111;-3400;0;-3685;0;-3400;0
112;-3450;0;-4560;0;-3450;0
113;-12250;0;-12355;0;-12250;0
114;-2850;0;-3607.5;0;-2850;0
115;-3000;0;-3932.5;0;-3000;0
116;-2600;0;-5957.5;0;-2600;0
117;-2450;0;-4322.5;0;-2450;0
118;-3150;0;-4055;0;-3150;0
119;-3350;0;-4570;0;-3350;0
120;-2400;0;-10955;0;-2400;0
121;-13800;0;-13982.5;0;-13800;0
122;-3650;0;-11642.5;0;-3650;0
123;-2550;0;-11705;0;-2550;0
124;-12300;0;-12900;0;-12300;0
125;-12100;0;-12202.5;0;-12100;0
126;-3000;0;-12767.5;0;-3000;0
127;-3150;0;-4092.5;0;-3150;0
128;-3050;0;-10620;0;-3050;0
129;-2750;0;-3052.5;0;-2750;0
130;-12300;0;-12370;0;-12300;0
131;-3550;0;-3772.5;0;-3550;0
132;-2750;0;-3157.5;0;-2750;0
133;-2550;0;-3095;0;-2550;0
134;-13050;0;-13160;0;-13050;0
135;-13600;0;-13755;0;-13600;0
136;-1900;0;-2270;0;-1900;0
137;-2900;0;-3280;0;-2900;0
138;-12950;0;-13127.5;0;-12950;0
139;-3300;0;-3912.5;0;-3300;0
140;-14450;0;-14577.5;0;-14450;0
141;-12300;0;-12392.5;0;-12300;0
142;-5100;0;-5252.5;0;-5100;0
143;-12750;0;-12835;0;-12750;0
144;-3200;0;-3340;0;-3200;0
145;-5150;0;-5430;0;-5150;0
146;-3050;0;-4072.5;0;-3050;0
147;-2900;0;-12582.5;0;-2900;0
148;-13200;0;-13345;0;-13200;0
149;-3150;0;-4377.5;0;-3150;0
150;-4700;0;-5302.5;0;-4700;0
151;-4350;0;-4420;0;-4350;0
152;-13800;0;-14037.5;0;-13800;0
153;-2100;0;-2770;0;-2100;0
154;-3050;0;-10825;0;-3050;0
155;-3050;0;-4427.5;0;-3050;0
156;-3750;0;-4485;0;-3750;0
157;-1850;0;-3400;0;-1850;0
158;-12750;0;-13272.5;0;-12750;0
