Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-209200,0,-209200,0,-209200,0
1,-198890,0,-208684.5,0,-198890,0
2,-209160,0,-209198,0,-209160,0
3,-209200,0,-209200,0,-209200,0
4,2710,0,-155865,0,2710,0
5,1330,0,-177622.5,0,1330,0
6,-209200,0,-209200,0,-209200,0
7,-209190,0,-209199,0,-209190,0
8,-208640,0,-209172,0,-208640,0
9,1290,0,-197735,0,1290,0
10,3070,0,-59588.5,0,3070,0
11,1740,0,-101768.5,0,1740,0
12,-209190,0,-209199.5,0,-209190,0
13,-208590,0,-208993,0,-208590,0
14,-209160,0,-209194.5,0,-209160,0
15,-209200,0,-209200,0,-209200,0
16,-209200,0,-209200,0,-209200,0
17,1930,0,-198156,0,1930,0
18,-209200,0,-209200,0,-209200,0
19,-198010,0,-207661,0,-198010,0
20,-209200,0,-209200,0,-209200,0
21,-209200,0,-209200,0,-209200,0
22,1470,0,-198139,0,1470,0
23,-209160,0,-209188.5,0,-209160,0
24,-209160,0,-209198,0,-209160,0
25,1680,0,-194072.5,0,1680,0
26,-209200,0,-209200,0,-209200,0
27,-209200,0,-209200,0,-209200,0
28,1700,0,-190220,0,1700,0
29,-198280,0,-206181,0,-198280,0
30,-209200,0,-209200,0,-209200,0
31,-209190,0,-209199,0,-209190,0
32,1600,0,-123320,0,1600,0
33,-199630,0,-206818.5,0,-199630,0
34,-209200,0,-209200,0,-209200,0
35,-209200,0,-209200,0,-209200,0
36,-209200,0,-209200,0,-209200,0
37,-208600,0,-209160.5,0,-208600,0
38,-197250,0,-208518.5,0,-197250,0
39,-209200,0,-209200,0,-209200,0
40,-198490,0,-206112.5,0,-198490,0
41,-209200,0,-209200,0,-209200,0
42,-209190,0,-209190,0,-209190,0
43,-209200,0,-209200,0,-209200,0
44,-209200,0,-209200,0,-209200,0
45,-209200,0,-209200,0,-209200,0
46,-209200,0,-209200,0,-209200,0
47,1310,0,-198671,0,1310,0
48,-209200,0,-209200,0,-209200,0
49,-209190,0,-209190,0,-209190,0
50,-209090,0,-209194.5,0,-209090,0
51,-198240,0,-198260,0,-198240,0
52,-209200,0,-209200,0,-209200,0
53,-208730,0,-209133.5,0,-208730,0
54,-209190,0,-209199.5,0,-209190,0
55,-209200,0,-209200,0,-209200,0
56,-209200,0,-209200,0,-209200,0
57,1670,0,-197645.5,0,1670,0
58,-197700,0,-205903.5,0,-197700,0
59,1960,0,-134293,0,1960,0
60,-209200,0,-209200,0,-209200,0
61,-208890,0,-209142,0,-208890,0
62,-209200,0,-209200,0,-209200,0
63,-199290,0,-205353.5,0,-199290,0
64,2440,0,-195450.5,0,2440,0
65,-209150,0,-209189.5,0,-209150,0
66,-209160,0,-209193,0,-209160,0
67,-209200,0,-209200,0,-209200,0
68,-209200,0,-209200,0,-209200,0
69,1910,0,-101644,0,1910,0
70,2580,0,-160976,0,2580,0
71,-209190,0,-209199.5,0,-209190,0
72,-209200,0,-209200,0,-209200,0
73,-209200,0,-209200,0,-209200,0
74,-209200,0,-209200,0,-209200,0
75,-209190,0,-209190,0,-209190,0
76,-209200,0,-209200,0,-209200,0
77,-209200,0,-209200,0,-209200,0
78,2360,0,-190521.5,0,2360,0
79,-209200,0,-209200,0,-209200,0
80,-209200,0,-209200,0,-209200,0
81,-209200,0,-209200,0,-209200,0
82,-209200,0,-209200,0,-209200,0
83,-209200,0,-209200,0,-209200,0
84,-179160,0,-196805.5,0,-179160,0
85,-209200,0,-209200,0,-209200,0
86,-209200,0,-209200,0,-209200,0
87,1580,0,-161186.5,0,1580,0
88,-209200,0,-209200,0,-209200,0
89,1910,0,-195264,0,1910,0
90,-209200,0,-209200,0,-209200,0
91,-191110,0,-201531,0,-191110,0
92,11520,0,-69924,0,11520,0
93,-209200,0,-209200,0,-209200,0
94,-198460,0,-208117.5,0,-198460,0
95,-209200,0,-209200,0,-209200,0
96,4780,0,-163603.5,0,4780,0
97,-193820,0,-207287,0,-193820,0
98,-209200,0,-209200,0,-209200,0
99,-208990,0,-209121.5,0,-208990,0
100,-209200,0,-209200,0,-209200,0
101,-198680,0,-208674,0,-198680,0
102,-199740,0,-208727,0,-199740,0
103,-209200,0,-209200,0,-209200,0
104,-209200,0,-209200,0,-209200,0
105,-209200,0,-209200,0,-209200,0
106,2220,0,-188948,0,2220,0
107,-199200,0,-208696.5,0,-199200,0
108,9500,0,-143098,0,9500,0
109,-209190,0,-209190,0,-209190,0
110,2020,0,-188010,0,2020,0
111,-209170,0,-209195.5,0,-209170,0
112,-209160,0,-209198,0,-209160,0
113,-189920,0,-203741.5,0,-189920,0
114,22490,0,-116755.5,0,22490,0
115,-209200,0,-209200,0,-209200,0
116,1420,0,-198669,0,1420,0
117,-209200,0,-209200,0,-209200,0
118,2520,0,-81995,0,2520,0
119,-209200,0,-209200,0,-209200,0
120,-209190,0,-209190,0,-209190,0
121,-209200,0,-209200,0,-209200,0
