Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-0.5443212,0,-1526.487,0,-0.5443212,0
1,-0.5477839,0,-389.9404,0,-0.5477839,0
2,-0.5283933,0,-201.4347,0,-0.5283933,0
3,-0.1350413,0,-159.2614,0,-0.1350413,0
4,-0.1260385,0,-0.5999998,0,-0.1260385,0
5,0.1101111,0,-0.4470219,0,0.1101111,0
6,0.108726,0,-0.2766619,0,0.108726,0
7,0.3995843,0,-0.04608713,0,0.3995843,0
8,0.6149586,0,0.1861843,0,0.6149586,0
9,0.6523544,0,0.3758309,0,0.6523544,0
10,-1.969529,0,-2.201731,0,-1.969529,0
11,-1.960526,0,-2.12133,0,-1.960526,0
12,-1.933518,0,-2.066898,0,-1.933518,0
13,-1.927978,0,-36.75478,0,-1.927978,0
14,-1.877424,0,-5.219495,0,-1.877424,0
15,-1.828947,0,-1.913504,0,-1.828947,0
16,-1.82133,0,-32.14674,0,-1.82133,0
17,-1.781856,0,-1.860423,0,-1.781856,0
18,-1.688366,0,-7.350139,0,-1.688366,0
19,-1.683518,0,-13.31842,0,-1.683518,0
20,0.7562329,0,-1.308899,0,0.7562329,0
21,0.7569253,0,-0.5249997,0,0.7569253,0
22,0.7867036,0,-0.01329615,0,0.7867036,0
23,0.7970916,0,-6.745637,0,0.7970916,0
24,0.808172,0,-30.2427,0,0.808172,0
25,0.8054017,0,-55.00686,0,0.8054017,0
26,0.8095569,0,-23.23199,0,0.8095569,0
27,0.8116345,0,-9.221781,0,0.8116345,0
28,0.8116347,0,-25.47292,0,0.8116347,0
29,0.8060944,0,0.7808867,0,0.8060944,0
30,1.359418,0,-37.98826,0,1.359418,0
31,1.366343,0,-72.98681,0,1.366343,0
32,1.419667,0,-2.428428,0,1.419667,0
33,1.445983,0,-20.92715,0,1.445983,0
34,1.524931,0,-8.861496,0,1.524931,0
35,1.603185,0,1.411184,0,1.603185,0
36,1.707064,0,-10.54986,0,1.707064,0
37,1.788781,0,-14.69484,0,1.788781,0
38,1.914819,0,-6.122091,0,1.914819,0
39,2.182826,0,-85.76562,0,2.182826,0
40,0.2915514,0,-346.1007,0,0.2915514,0
41,0.3864266,0,-190.5677,0,0.3864266,0
42,0.3919669,0,-6.493732,0,0.3919669,0
43,0.4951523,0,-50.93837,0,0.4951523,0
44,0.4993074,0,-11.11773,0,0.4993074,0
45,0.6170359,0,-25.8285,0,0.6170359,0
46,0.6218836,0,-11.75152,0,0.6218836,0
47,0.6842104,0,0.5354224,0,0.6842104,0
48,0.6973687,0,0.5791551,0,0.6973687,0
49,0.7084489,0,-19.66375,0,0.7084489,0
50,-2.01385,0,-2.148511,0,-2.01385,0
51,-1.765236,0,-2.060042,0,-1.765236,0
52,-1.767313,0,-19.76562,0,-1.767313,0
53,-1.753463,0,-27.90623,0,-1.753463,0
54,-1.720914,0,-15.57514,0,-1.720914,0
55,-1.717452,0,-1.772957,0,-1.717452,0
56,-1.697369,0,-9.256683,0,-1.697369,0
