Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,0.1952909,0,-42.8973,0,0.1952909,0
1,0.2188368,0,-150.7173,0,0.2188368,0
2,0.1904434,0,-150.9772,0,0.1904434,0
3,0.7236842,0,0.104917,0,0.7236842,0
4,0.7430747,0,-211.1316,0,0.7430747,0
5,1.518698,0,0.417036,0,1.518698,0
6,1.948061,0,-74.23064,0,1.948061,0
7,1.894737,0,-349.1641,0,1.894737,0
8,1.915513,0,-36.68646,0,1.915513,0
9,1.777008,0,-119.9812,0,1.777008,0
10,-0.783241,0,-33.85558,0,-0.783241,0
11,-0.8337951,0,-7.660493,0,-0.8337951,0
12,-0.6668979,0,-13.53497,0,-0.6668979,0
13,-0.5505541,0,-138.1285,0,-0.5505541,0
14,-0.6807483,0,-187.7249,0,-0.6807483,0
15,-0.6849034,0,-0.8781165,0,-0.6849034,0
16,-0.7264545,0,-0.8732343,0,-0.7264545,0
17,-0.5484762,0,-0.968733,0,-0.5484762,0
18,0.6994459,0,-5.464993,0,0.6994459,0
19,-0.6849032,0,-0.8221263,0,-0.6849032,0
20,2.967452,0,1.9241,0,2.967452,0
21,2.933518,0,-600.7857,0,2.933518,0
22,2.680748,0,-383.0639,0,2.680748,0
23,2.781856,0,-575.5712,0,2.781856,0
24,2.759696,0,-893.9579,0,2.759696,0
25,2.572022,0,-664.9994,0,2.572022,0
26,2.458449,0,-485.0385,0,2.458449,0
27,2.93698,0,-129.6661,0,2.93698,0
28,2.889196,0,-560.3683,0,2.889196,0
29,2.887812,0,-171.1252,0,2.887812,0
30,0.9819945,0,-184.2271,0,0.9819945,0
31,1.254848,0,-430.3456,0,1.254848,0
32,1.210526,0,-313.1828,0,1.210526,0
33,1.247923,0,-20.52839,0,1.247923,0
34,1.425207,0,-289.862,0,1.425207,0
35,1.472299,0,-237.5673,0,1.472299,0
36,1.495844,0,-249.4013,0,1.495844,0
37,1.490997,0,-669.9078,0,1.490997,0
38,1.463989,0,-397.0562,0,1.463989,0
39,1.453601,0,-267.1867,0,1.453601,0
40,11.42313,0,4.065651,0,11.42313,0
41,11.90651,0,6.198753,0,11.90651,0
42,11.90582,0,-135.0166,0,11.90582,0
43,12.47576,0,-6.889336,0,12.47576,0
44,12.72368,0,7.945638,0,12.72368,0
45,12.41621,0,-0.3441128,0,12.41621,0
46,12.6108,0,-131.3792,0,12.6108,0
47,12.81994,0,8.069149,0,12.81994,0
48,12.92313,0,-103.5556,0,12.92313,0
49,12.80194,0,3.260734,0,12.80194,0
50,2.149584,0,-22.05398,0,2.149584,0
51,2.15097,0,-27.21676,0,2.15097,0
52,2.153047,0,1.803566,0,2.153047,0
53,2.157895,0,-125.3778,0,2.157895,0
54,2.365651,0,1.483276,0,2.365651,0
55,2.364266,0,1.663608,0,2.364266,0
56,2.346952,0,1.970983,0,2.346952,0
57,2.173823,0,1.879744,0,2.173823,0
58,2.135041,0,1.673165,0,2.135041,0
59,2.16205,0,-5.198373,0,2.16205,0
60,11.95568,0,-85.6796,0,11.95568,0
61,12.0187,0,-143.0812,0,12.0187,0
62,12.2597,0,-3.54207,0,12.2597,0
63,12.25623,0,8.570498,0,12.25623,0
64,12.18006,0,-149.0217,0,12.18006,0
65,12.62396,0,3.506302,0,12.62396,0
66,12.62258,0,-5.463746,0,12.62258,0
67,12.42105,0,-24.80637,0,12.42105,0
68,12.52008,0,8.020082,0,12.52008,0
69,12.40374,0,6.133276,0,12.40374,0
70,-1.133656,0,-1.317659,0,-1.133656,0
71,-0.2908589,0,-303.6552,0,-0.2908589,0
72,0.134349,0,-1.208102,0,0.134349,0
73,0.02354541,0,-1.195776,0,0.02354541,0
74,-0.06371182,0,-152.2919,0,-0.06371182,0
75,0.02770059,0,-555.4017,0,0.02770059,0
76,-0.0554015,0,-291.9583,0,-0.0554015,0
77,0.2548477,0,-28.22552,0,0.2548477,0
78,0.4196671,0,-0.8251387,0,0.4196671,0
79,0.3365649,0,-0.5413089,0,0.3365649,0
80,0.2160663,0,-18.2731,0,0.2160663,0
81,0.6585876,0,-4.441344,0,0.6585876,0
82,0.9224377,0,-4.772368,0,0.9224377,0
83,0.770083,0,-3.741585,0,0.770083,0
84,0.9134347,0,-2.478324,0,0.9134347,0
85,0.8691133,0,-6.493871,0,0.8691133,0
86,0.7693905,0,-2.856233,0,0.7693905,0
87,0.8815788,0,-0.9614614,0,0.8815788,0
88,0.8732685,0,0.4310595,0,0.8732685,0
89,0.8303323,0,-122.3118,0,0.8303323,0
90,2.08795,0,1.321364,0,2.08795,0
91,2.548477,0,1.52126,0,2.548477,0
92,2.959834,0,-92.48705,0,2.959834,0
93,2.959141,0,-10.89467,0,2.959141,0
94,3.056094,0,-95.03484,0,3.056094,0
95,2.966067,0,-20.20537,0,2.966067,0
96,3.135734,0,-202.2203,0,3.135734,0
97,12.30748,0,-39.55436,0,12.30748,0
98,2.919667,0,-234.9663,0,2.919667,0
99,3.031856,0,-72.37264,0,3.031856,0
100,1.695292,0,-70.77858,0,1.695292,0
101,1.590028,0,-108.4614,0,1.590028,0
102,1.569945,0,-79.23668,0,1.569945,0
103,1.59903,0,-150.373,0,1.59903,0
104,1.554709,0,-84.82521,0,1.554709,0
105,1.75277,0,-20.78899,0,1.75277,0
106,1.731994,0,-32.53161,0,1.731994,0
107,1.736149,0,-58.3517,0,1.736149,0
108,1.763158,0,-29.82614,0,1.763158,0
109,1.58241,0,-55.22884,0,1.58241,0
110,2.490305,0,-58.22123,0,2.490305,0
111,11.56925,0,-9.673477,0,11.56925,0
112,11.60665,0,-5.03899,0,11.60665,0
113,11.60388,0,-23.10142,0,11.60388,0
114,12.22299,0,-112.6365,0,12.22299,0
115,12.44529,0,-115.1707,0,12.44529,0
116,12.52839,0,-116.7765,0,12.52839,0
117,12.34972,0,-396.2881,0,12.34972,0
118,12.27978,0,-246.7695,0,12.27978,0
119,12.00623,0,-122.0293,0,12.00623,0
120,-2990.336,0,-3030.349,0,-2990.336,0
121,1.064404,0,-2860.269,0,1.064404,0
122,1.443906,0,-2544.849,0,1.443906,0
123,1.49169,0,-2114.178,0,1.49169,0
124,1.538781,0,-1161.242,0,1.538781,0
125,2.042935,0,-55.22448,0,2.042935,0
126,2.026316,0,1.413158,0,2.026316,0
127,1.909972,0,-83.32652,0,1.909972,0
128,2.108726,0,-164.5517,0,2.108726,0
129,2.22784,0,-11.51939,0,2.22784,0
130,-0.6378115,0,-36.02576,0,-0.6378115,0
131,-0.6066484,0,-206.3983,0,-0.6066484,0
132,-0.7091413,0,-243.5199,0,-0.7091413,0
133,-0.6108034,0,-0.931406,0,-0.6108034,0
134,-0.5941828,0,-52.16784,0,-0.5941828,0
135,-0.5678669,0,-289.2772,0,-0.5678669,0
136,-0.5740997,0,-144.5097,0,-0.5740997,0
137,-0.5692521,0,-672.9119,0,-0.5692521,0
138,-0.5533243,0,-365.8908,0,-0.5533243,0
139,-0.5533243,0,-243.4981,0,-0.5533243,0
140,2.770776,0,-57.5327,0,2.770776,0
141,2.716759,0,-40.2197,0,2.716759,0
142,2.833795,0,-199.8219,0,2.833795,0
143,2.831717,0,-10.23958,0,2.831717,0
144,2.864959,0,-14.59159,0,2.864959,0
145,3.001385,0,-76.46015,0,3.001385,0
146,2.913435,0,-41.81371,0,2.913435,0
147,2.930055,0,-60.55409,0,2.930055,0
148,2.993768,0,-24.55575,0,2.993768,0
149,2.960527,0,-37.35595,0,2.960527,0
150,0.2499995,0,-1197.272,0,0.2499995,0
151,-0.07617743,0,-716.4332,0,-0.07617743,0
152,2.76108,0,-426.0412,0,2.76108,0
153,2.661357,0,-260.6877,0,2.661357,0
154,2.799169,0,-136.4295,0,2.799169,0
155,2.941135,0,-240.463,0,2.941135,0
156,2.913435,0,-136.0456,0,2.913435,0
157,2.847645,0,-448.8326,0,2.847645,0
158,2.826177,0,-182.9702,0,2.826177,0
159,2.804017,0,-261.2402,0,2.804017,0
160,0.4743769,0,-89.22305,0,0.4743769,0
161,0.4674522,0,-44.88269,0,0.4674522,0
162,0.4702218,0,-42.12981,0,0.4702218,0
163,0.4639892,0,-40.25758,0,0.4639892,0
164,0.5186983,0,-14.74311,0,0.5186983,0
165,0.4224379,0,-378.7642,0,0.4224379,0
166,0.5678675,0,-156.5297,0,0.5678675,0
167,0.6454292,0,-32.03567,0,0.6454292,0
168,0.9265934,0,-7.089543,0,0.9265934,0
169,0.9639893,0,-10.35845,0,0.9639893,0
170,1.484764,0,-0.430575,0,1.484764,0
171,1.454293,0,-810.6984,0,1.454293,0
172,1.90097,0,-51.79036,0,1.90097,0
173,2.189058,0,-67.4447,0,2.189058,0
174,2.160665,0,-188.9054,0,2.160665,0
175,1.922438,0,-248.9139,0,1.922438,0
176,2.197368,0,-170.1457,0,2.197368,0
177,2.094183,0,-156.3617,0,2.094183,0
178,2.081025,0,1.727285,0,2.081025,0
179,2.128116,0,0.01035305,0,2.128116,0
180,1.265235,0,-240.8165,0,1.265235,0
181,1.227147,0,-183.8393,0,1.227147,0
182,1.226455,0,-42.97992,0,1.226455,0
183,1.211911,0,-5.05509,0,1.211911,0
184,1.229225,0,-205.1668,0,1.229225,0
185,1.355956,0,-4.102665,0,1.355956,0
186,1.254155,0,-384.5305,0,1.254155,0
187,1.204986,0,-10.49307,0,1.204986,0
188,1.469529,0,-87.16063,0,1.469529,0
189,1.605955,0,-61.84172,0,1.605955,0
190,-0.09279758,0,-2225.116,0,-0.09279758,0
191,-0.02146791,0,-918.5457,0,-0.02146791,0
192,-0.09002808,0,-269.6194,0,-0.09002808,0
193,-0.06578925,0,-145.5858,0,-0.06578925,0
194,0.01592807,0,-242.0384,0,0.01592807,0
195,0.06925207,0,-0.1995497,0,0.06925207,0
196,0.03254838,0,-156.7754,0,0.03254838,0
197,0.04224384,0,-287.7683,0,0.04224384,0
198,0.137812,0,-275.2402,0,0.137812,0
199,0.06094187,0,-7.244874,0,0.06094187,0
200,1.459141,0,-7.676315,0,1.459141,0
201,1.724377,0,-1.794841,0,1.724377,0
202,1.700138,0,-324.7955,0,1.700138,0
203,1.657894,0,-103.8589,0,1.657894,0
204,1.749307,0,0.8425554,0,1.749307,0
205,1.795706,0,-206.6062,0,1.795706,0
206,1.828255,0,-509.5328,0,1.828255,0
207,1.815789,0,-59.39021,0,1.815789,0
208,1.889196,0,-225.1893,0,1.889196,0
209,1.864959,0,-429.5385,0,1.864959,0
210,-0.7742384,0,-98.39882,0,-0.7742384,0
211,-0.7070639,0,-146.507,0,-0.7070639,0
212,-0.7126039,0,-1.095983,0,-0.7126039,0
213,-0.5380888,0,-0.9580678,0,-0.5380888,0
214,0.3642659,0,-0.8493075,0,0.3642659,0
215,-0.5034624,0,-0.8270431,0,-0.5034624,0
216,-0.4972301,0,-0.782791,0,-0.4972301,0
217,-0.4930748,0,-0.6592106,0,-0.4930748,0
218,-0.4674515,0,-5.282203,0,-0.4674515,0
219,-0.4806096,0,-0.7153393,0,-0.4806096,0
220,0.8684208,0,-912.0125,0,0.8684208,0
221,0.9189751,0,-571.9886,0,0.9189751,0
222,0.9252079,0,-669.071,0,0.9252079,0
223,0.8947369,0,-442.2989,0,0.8947369,0
224,0.8843489,0,-105.0206,0,0.8843489,0
225,0.946676,0,-33.58733,0,0.946676,0
226,0.9369813,0,-86.60412,0,0.9369813,0
227,0.981302,0,-261.0179,0,0.981302,0
228,0.9944598,0,-98.7563,0,0.9944598,0
229,1.018005,0,-2.532652,0,1.018005,0
230,2.616343,0,2.125969,0,2.616343,0
231,2.756925,0,-200.7362,0,2.756925,0
232,2.621191,0,-284.3494,0,2.621191,0
233,2.662742,0,-122.3587,0,2.662742,0
234,2.698753,0,-151.4375,0,2.698753,0
235,2.773546,0,-169.1227,0,2.773546,0
236,2.693213,0,-324.9124,0,2.693213,0
237,2.718836,0,2.517001,0,2.718836,0
238,11.36981,0,-165.5835,0,11.36981,0
239,2.83795,0,-442.081,0,2.83795,0
240,1.621191,0,-1519.281,0,1.621191,0
241,11.75831,0,-495.8914,0,11.75831,0
242,11.67936,0,-388.7264,0,11.67936,0
243,2.739612,0,-500.0783,0,2.739612,0
244,12.33033,0,-396.4384,0,12.33033,0
245,12.3151,0,-357.3071,0,12.3151,0
246,11.64197,0,-179.9069,0,11.64197,0
247,11.98823,0,-572.462,0,11.98823,0
248,12.50831,0,-232.8086,0,12.50831,0
249,11.91413,0,-142.2621,0,11.91413,0
250,1.111496,0,-183.9801,0,1.111496,0
251,1.124654,0,-161.8342,0,1.124654,0
252,1.132272,0,0.5049516,0,1.132272,0
253,1.166898,0,-140.4133,0,1.166898,0
254,1.545014,0,-239.9579,0,1.545014,0
255,1.533241,0,-7.944736,0,1.533241,0
256,1.219529,0,-0.7013849,0,1.219529,0
257,1.259695,0,0.8893005,0,1.259695,0
258,1.591413,0,0.9749311,0,1.591413,0
259,1.268006,0,-20.08265,0,1.268006,0
260,12.40305,0,7.584938,0,12.40305,0
261,13.20706,0,8.107237,0,13.20706,0
262,13.48823,0,-218.1589,0,13.48823,0
263,12.56302,0,-17.12423,0,12.56302,0
264,12.42867,0,5.997472,0,12.42867,0
265,13.25692,0,-170.6445,0,13.25692,0
266,12.39266,0,4.97313,0,12.39266,0
267,13.11496,0,6.19498,0,13.11496,0
268,13.19668,0,-285.5369,0,13.19668,0
269,13.23546,0,-122.6452,0,13.23546,0
270,0.1163435,0,-0.02943217,0,0.1163435,0
271,0.1274238,0,-268.6628,0,0.1274238,0
272,0.1662048,0,-0.002181477,0,0.1662048,0
273,0.1710526,0,-13.66669,0,0.1710526,0
274,0.1807479,0,-0.05554027,0,0.1807479,0
275,0.1807479,0,0.02780468,0,0.1807479,0
276,0.1752076,0,-340.0455,0,0.1752076,0
277,0.1675897,0,0.009037223,0,0.1675897,0
278,0.1731299,0,-0.1020777,0,0.1731299,0
279,0.1745152,0,-0.0007964842,0,0.1745152,0
280,-0.524931,0,-0.9628465,0,-0.524931,0
281,-0.5380887,0,-153.1557,0,-0.5380887,0
282,-0.4743767,0,-386.699,0,-0.4743767,0
