Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-0.5463988,0,-1419.987,0,-0.5463988,0
1,-0.5450138,0,-388.2368,0,-0.5450138,0
2,-0.5304708,0,-199.3046,0,-0.5304708,0
3,-0.1260385,0,-159.3448,0,-0.1260385,0
4,-0.1572021,0,-0.717486,0,-0.1572021,0
5,0.1101111,0,-0.5963641,0,0.1101111,0
6,0.108726,0,-0.4326868,0,0.108726,0
7,0.3289468,0,-0.1219875,0,0.3289468,0
8,0.611496,0,0.08812337,0,0.611496,0
9,0.6426594,0,0.3060596,0,0.6426594,0
10,-2.004848,0,-2.213054,0,-2.004848,0
11,-2.020776,0,-2.135873,0,-2.020776,0
12,-1.953601,0,-2.047195,0,-1.953601,0
13,-1.921053,0,-37.75464,0,-1.921053,0
14,-1.845568,0,-1.980783,0,-1.845568,0
15,-1.81025,0,-1.916344,0,-1.81025,0
16,-1.774238,0,-25.88698,0,-1.774238,0
17,-1.710526,0,-6.577528,0,-1.710526,0
18,-1.672438,0,-1.821122,0,-1.672438,0
19,-1.520776,0,-1.752216,0,-1.520776,0
20,0.7409976,0,-33.12943,0,0.7409976,0
21,0.7590031,0,0.6605266,0,0.7590031,0
22,0.7673133,0,-7.068386,0,0.7673133,0
23,0.7673132,0,-58.04564,0,0.7673132,0
24,0.7839338,0,-57.28397,0,0.7839338,0
25,0.7846263,0,-55.25731,0,0.7846263,0
26,0.7894741,0,-1.751835,0,0.7894741,0
27,0.788089,0,-73.74158,0,0.788089,0
28,0.8054025,0,-32.99893,0,0.8054025,0
29,0.8337957,0,-24.72486,0,0.8337957,0
30,1.409972,0,-9.528463,0,1.409972,0
31,1.419667,0,-91.75862,0,1.419667,0
32,1.476454,0,-70.8992,0,1.476454,0
33,1.48892,0,-66.64075,0,1.48892,0
34,1.955679,0,-30.53221,0,1.955679,0
35,2.187673,0,-5.189993,0,2.187673,0
36,2.187673,0,1.706509,0,2.187673,0
37,2.334487,0,1.894148,0,2.334487,0
38,2.335873,0,1.987154,0,2.335873,0
39,2.33795,0,-5.369287,0,2.33795,0
40,0.02700856,0,-733.1843,0,0.02700856,0
41,0.2326873,0,-431.0956,0,0.2326873,0
42,0.2506926,0,-190.054,0,0.2506926,0
43,0.3552632,0,-108.9857,0,0.3552632,0
44,0.4681442,0,-16.83816,0,0.4681442,0
45,0.4632965,0,-52.32719,0,0.4632965,0
46,0.5387813,0,0.3861843,0,0.5387813,0
47,0.6585873,0,0.4610112,0,0.6585873,0
48,1.191828,0,0.5287397,0,1.191828,0
49,0.9826867,0,0.5611841,0,0.9826867,0
50,-2.144044,0,-2.450589,0,-2.144044,0
51,-1.867036,0,-2.304155,0,-1.867036,0
52,-1.682826,0,-2.141655,0,-1.682826,0
53,-1.591413,0,-1.914751,0,-1.591413,0
54,-1.56025,0,-1.809176,0,-1.56025,0
55,-1.557479,0,-1.738089,0,-1.557479,0
56,-1.533934,0,-3.190063,0,-1.533934,0
57,-1.529778,0,-1.628532,0,-1.529778,0
58,-1.49169,0,-1.713366,0,-1.49169,0
59,-1.435596,0,-1.571157,0,-1.435596,0
60,0.08933496,0,-45.66769,0,0.08933496,0
61,0.2292243,0,-26.72392,0,0.2292243,0
62,0.2264542,0,-51.37546,0,0.2264542,0
63,0.5207755,0,-3.055575,0,0.5207755,0
64,0.5096949,0,-3.899482,0,0.5096949,0
65,0.4916896,0,-17.32628,0,0.4916896,0
66,0.5131577,0,-36.88937,0,0.5131577,0
67,0.512465,0,-1.571053,0,0.512465,0
68,0.5304707,0,0.3786701,0,0.5304707,0
69,0.5311629,0,-47.80326,0,0.5311629,0
70,1.468144,0,-18.55706,0,1.468144,0
71,1.522161,0,1.112742,0,1.522161,0
72,1.616343,0,1.26991,0,1.616343,0
73,1.816482,0,1.45509,0,1.816482,0
74,1.81856,0,-2.957756,0,1.81856,0
75,2.26385,0,-43.11216,0,2.26385,0
76,11.86842,0,-17.18774,0,11.86842,0
77,11.79155,0,-30.38044,0,11.79155,0
78,11.79432,0,-28.42829,0,11.79432,0
79,12.17105,0,4.86856,0,12.17105,0
80,1.23892,0,-12.1411,0,1.23892,0
81,1.210527,0,-30.09155,0,1.210527,0
82,11.69183,0,1.407064,0,11.69183,0
83,11.80263,0,-14.98584,0,11.80263,0
84,11.80471,0,-104.6925,0,11.80471,0
85,11.75138,0,-46.13556,0,11.75138,0
86,11.65443,0,-100.5038,0,11.65443,0
87,11.76593,0,-87.58955,0,11.76593,0
88,11.68213,0,-96.92649,0,11.68213,0
89,11.88019,0,-63.45329,0,11.88019,0
90,-682.2078,0,-1445.98,0,-682.2078,0
91,-547.2542,0,-1057.472,0,-547.2542,0
92,2.894044,0,-733.0858,0,2.894044,0
93,2.903047,0,-306.2109,0,2.903047,0
94,3.397507,0,-84.3849,0,3.397507,0
95,3.660665,0,-1.201351,0,3.660665,0
96,3.773546,0,-48.54709,0,3.773546,0
97,13.26939,0,-26.00911,0,13.26939,0
98,13.65512,0,-63.78901,0,13.65512,0
99,13.54294,0,-50.70928,0,13.54294,0
100,0.1461218,0,-20.20433,0,0.1461218,0
101,0.1759002,0,-9.9125,0,0.1759002,0
102,0.2112189,0,-53.95256,0,0.2112189,0
103,0.24169,0,-0.403601,0,0.24169,0
104,0.2389199,0,-58.62704,0,0.2389199,0
105,0.2479224,0,-167.7372,0,0.2479224,0
106,0.2493076,0,-7.766829,0,0.2493076,0
107,0.2513853,0,0.1698755,0,0.2513853,0
108,0.2777008,0,-0.02139873,0,0.2777008,0
109,0.2825484,0,-33.22729,0,0.2825484,0
110,-1.286704,0,-26.99009,0,-1.286704,0
111,-1.112881,0,-1.328324,0,-1.112881,0
112,-1.08241,0,-1.439716,0,-1.08241,0
113,-1.072715,0,-1.152424,0,-1.072715,0
114,-1.070638,0,-23.96617,0,-1.070638,0
115,-1.072022,0,-170.2151,0,-1.072022,0
116,-1.073407,0,-1.228324,0,-1.073407,0
117,-1.069945,0,-1.340409,0,-1.069945,0
118,-1.061635,0,-11.13248,0,-1.061635,0
119,-1.023546,0,-1.101662,0,-1.023546,0
120,0.04709144,0,-0.172126,0,0.04709144,0
121,0.1814404,0,-7.341032,0,0.1814404,0
122,0.2340722,0,-299.277,0,0.2340722,0
123,0.1973685,0,0.04096267,0,0.1973685,0
124,0.777701,0,0.1242036,0,0.777701,0
125,0.8247924,0,0.3003809,0,0.8247924,0
126,0.8227147,0,-248.8172,0,0.8227147,0
127,0.8421053,0,-90.53902,0,0.8421053,0
128,0.8427975,0,-89.55966,0,0.8427975,0
129,0.8372577,0,-238.7722,0,0.8372577,0
130,1.085873,0,-501.1068,0,1.085873,0
131,0.9231302,0,-15.86572,0,0.9231302,0
132,0.9743768,0,-103.6342,0,0.9743768,0
133,1.324792,0,-38.62078,0,1.324792,0
134,0.8711914,0,-133.8531,0,0.8711914,0
135,0.8767315,0,-38.54556,0,0.8767315,0
136,1.190443,0,-103.3448,0,1.190443,0
137,1.049169,0,-28.80028,0,1.049169,0
