Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-210000,0,-210000,0,-210000,0
1,-199880,0,-209494,0,-199880,0
2,-209960,0,-209998,0,-209960,0
3,-210000,0,-210000,0,-210000,0
4,1760,0,-156687,0,1760,0
5,1190,0,-178327.5,0,1190,0
6,-210000,0,-210000,0,-210000,0
7,-209990,0,-209999,0,-209990,0
8,-209440,0,-209958,0,-209440,0
9,1130,0,-198429.5,0,1130,0
10,2370,0,-90490,0,2370,0
11,1710,0,-112854,0,1710,0
12,-209990,0,-209999.5,0,-209990,0
13,-209400,0,-209776,0,-209400,0
14,-209950,0,-209990.5,0,-209950,0
15,-199640,0,-209480.5,0,-199640,0
16,-210000,0,-210000,0,-210000,0
17,1240,0,-175393.5,0,1240,0
18,-210000,0,-210000,0,-210000,0
19,-192110,0,-203176.5,0,-192110,0
20,-210000,0,-210000,0,-210000,0
21,-210000,0,-210000,0,-210000,0
22,1190,0,-178324,0,1190,0
23,-209960,0,-209988,0,-209960,0
24,-209970,0,-209998.5,0,-209970,0
25,1170,0,-194767,0,1170,0
26,-210000,0,-210000,0,-210000,0
27,-210000,0,-210000,0,-210000,0
28,-190920,0,-203735,0,-190920,0
29,-199920,0,-209496,0,-199920,0
30,-210000,0,-210000,0,-210000,0
31,-209970,0,-209996.5,0,-209970,0
32,3270,0,-70453.5,0,3270,0
33,-199850,0,-205907,0,-199850,0
34,-210000,0,-210000,0,-210000,0
35,-210000,0,-210000,0,-210000,0
36,-199860,0,-209476.5,0,-199860,0
37,-199590,0,-209467,0,-199590,0
38,-194200,0,-207699,0,-194200,0
39,-210000,0,-210000,0,-210000,0
40,-197980,0,-207204,0,-197980,0
41,-210000,0,-210000,0,-210000,0
42,-209990,0,-209990,0,-209990,0
43,-210000,0,-210000,0,-210000,0
44,-210000,0,-210000,0,-210000,0
45,-210000,0,-210000,0,-210000,0
46,-210000,0,-210000,0,-210000,0
47,-209940,0,-209995,0,-209940,0
48,-210000,0,-210000,0,-210000,0
49,-209990,0,-209990,0,-209990,0
50,-210000,0,-210000,0,-210000,0
51,-196020,0,-199527.5,0,-196020,0
52,-210000,0,-210000,0,-210000,0
53,-209950,0,-209985,0,-209950,0
54,-210000,0,-210000,0,-210000,0
55,-199360,0,-209468,0,-199360,0
56,-210000,0,-210000,0,-210000,0
57,1520,0,-155048.5,0,1520,0
58,-199800,0,-209468.5,0,-199800,0
59,1400,0,-174248,0,1400,0
60,-210000,0,-210000,0,-210000,0
61,-210000,0,-210000,0,-210000,0
62,-209980,0,-209999,0,-209980,0
63,-197990,0,-207345,0,-197990,0
64,-192480,0,-205988.5,0,-192480,0
65,1710,0,-198894.5,0,1710,0
66,-199310,0,-208938,0,-199310,0
67,-197590,0,-209366,0,-197590,0
68,-210000,0,-210000,0,-210000,0
69,5360,0,-80416,0,5360,0
70,1310,0,-176097.5,0,1310,0
71,-199820,0,-208978.5,0,-199820,0
72,-199280,0,-209462.5,0,-199280,0
73,-210000,0,-210000,0,-210000,0
74,-199780,0,-209443.5,0,-199780,0
75,-199010,0,-205791,0,-199010,0
76,-209980,0,-209999,0,-209980,0
77,-210000,0,-210000,0,-210000,0
78,-181750,0,-204399.5,0,-181750,0
79,-210000,0,-210000,0,-210000,0
80,-210000,0,-210000,0,-210000,0
81,-187900,0,-205088.5,0,-187900,0
82,-210000,0,-210000,0,-210000,0
83,-210000,0,-210000,0,-210000,0
84,-188390,0,-199628,0,-188390,0
85,-210000,0,-210000,0,-210000,0
86,-210000,0,-210000,0,-210000,0
87,1130,0,-185300.5,0,1130,0
88,-210000,0,-210000,0,-210000,0
89,-190050,0,-207434,0,-190050,0
90,-210000,0,-210000,0,-210000,0
91,-198390,0,-206802,0,-198390,0
92,1940,0,-97902,0,1940,0
93,-210000,0,-210000,0,-210000,0
94,-199870,0,-208981,0,-199870,0
95,1180,0,-196886,0,1180,0
96,1300,0,-187817,0,1300,0
97,-199790,0,-205399,0,-199790,0
98,-199420,0,-208952.5,0,-199420,0
99,-209780,0,-209923,0,-209780,0
100,-210000,0,-210000,0,-210000,0
101,1100,0,-197703.5,0,1100,0
102,-190770,0,-206410.5,0,-190770,0
103,-199180,0,-206878,0,-199180,0
104,-210000,0,-210000,0,-210000,0
105,-210000,0,-210000,0,-210000,0
106,1300,0,-149989,0,1300,0
107,1650,0,-188850,0,1650,0
108,1750,0,-185248,0,1750,0
109,-209990,0,-209990,0,-209990,0
110,1320,0,-170278,0,1320,0
111,6230,0,-188510,0,6230,0
112,-195030,0,-207987.5,0,-195030,0
113,-199570,0,-208968.5,0,-199570,0
114,1740,0,-144536.5,0,1740,0
115,-210000,0,-210000,0,-210000,0
116,1190,0,-199438,0,1190,0
117,-210000,0,-210000,0,-210000,0
118,1310,0,-72737.5,0,1310,0
119,-210000,0,-210000,0,-210000,0
120,-209990,0,-209990,0,-209990,0
121,1170,0,-199425.5,0,1170,0
122,2520,0,-176187.5,0,2520,0
123,1200,0,-193384.5,0,1200,0
124,-209990,0,-209990,0,-209990,0
125,-193220,0,-203322.5,0,-193220,0
126,-199890,0,-209493.5,0,-199890,0
127,-199800,0,-208979.5,0,-199800,0
128,-199770,0,-208460.5,0,-199770,0
129,1180,0,-188366,0,1180,0
130,2760,0,-91699.5,0,2760,0
131,-210000,0,-210000,0,-210000,0
132,-198990,0,-207916,0,-198990,0
133,-210000,0,-210000,0,-210000,0
134,-210000,0,-210000,0,-210000,0
135,1240,0,-170282.5,0,1240,0
136,-209800,0,-209990,0,-209800,0
137,-198860,0,-207914,0,-198860,0
138,-209670,0,-209966,0,-209670,0
139,1190,0,-190079,0,1190,0
140,1190,0,-154061.5,0,1190,0
141,-199930,0,-209495.5,0,-199930,0
142,-210000,0,-210000,0,-210000,0
143,-209890,0,-209987.5,0,-209890,0
144,-198830,0,-207894.5,0,-198830,0
145,-193120,0,-206574.5,0,-193120,0
146,1820,0,-195695.5,0,1820,0
147,1540,0,-131142,0,1540,0
148,-209640,0,-209936,0,-209640,0
149,1880,0,-182003.5,0,1880,0
150,-210000,0,-210000,0,-210000,0
151,-210000,0,-210000,0,-210000,0
152,1140,0,-173210.5,0,1140,0
153,2260,0,-90473,0,2260,0
154,5120,0,-47932,0,5120,0
155,-209700,0,-209932,0,-209700,0
156,1130,0,-196309,0,1130,0
157,-210000,0,-210000,0,-210000,0
158,-210000,0,-210000,0,-210000,0
159,-210000,0,-210000,0,-210000,0
160,-209990,0,-209990,0,-209990,0
161,-192100,0,-199147,0,-192100,0
162,1140,0,-196907.5,0,1140,0
163,1650,0,-88868,0,1650,0
164,-209560,0,-209971.5,0,-209560,0
165,1340,0,-186314.5,0,1340,0
166,-210000,0,-210000,0,-210000,0
167,1500,0,-174143.5,0,1500,0
168,-199870,0,-205948,0,-199870,0
169,-198620,0,-207700,0,-198620,0
170,-199280,0,-203853,0,-199280,0
171,-199820,0,-208968,0,-199820,0
172,-199330,0,-208403,0,-199330,0
173,-198970,0,-209448,0,-198970,0
174,-198950,0,-204160.5,0,-198950,0
175,-198640,0,-206146.5,0,-198640,0
176,-198840,0,-206275,0,-198840,0
177,1320,0,-182313,0,1320,0
178,-199630,0,-209481.5,0,-199630,0
179,-199530,0,-208404,0,-199530,0
180,-209970,0,-209998,0,-209970,0
181,-192550,0,-200389,0,-192550,0
182,-198500,0,-201004.5,0,-198500,0
183,1490,0,-40486,0,1490,0
184,-199500,0,-206903.5,0,-199500,0
185,-197960,0,-200277.5,0,-197960,0
186,-199030,0,-202657.5,0,-199030,0
187,-198610,0,-199271,0,-198610,0
188,-197840,0,-200589,0,-197840,0
189,1420,0,-190434.5,0,1420,0
190,-198640,0,-201110.5,0,-198640,0
191,-198920,0,-201635,0,-198920,0
192,-193900,0,-198768.5,0,-193900,0
193,-193780,0,-197671.5,0,-193780,0
194,2020,0,-160128.5,0,2020,0
195,-198180,0,-201751.5,0,-198180,0
196,-198200,0,-200639,0,-198200,0
197,-197790,0,-199072,0,-197790,0
198,-198240,0,-198833.5,0,-198240,0
199,2050,0,-179230,0,2050,0
200,-198160,0,-198958.5,0,-198160,0
201,2280,0,-38678.5,0,2280,0
202,1590,0,-149894,0,1590,0
203,2280,0,-8522.5,0,2280,0
204,2290,0,-136231.5,0,2290,0
205,1240,0,-139703.5,0,1240,0
206,-192710,0,-197796.5,0,-192710,0
207,-198310,0,-199086,0,-198310,0
208,-198860,0,-199834,0,-198860,0
209,-199160,0,-202134,0,-199160,0
210,2000,0,-159683.5,0,2000,0
211,1680,0,-149217.5,0,1680,0
212,-198260,0,-198806,0,-198260,0
213,-193940,0,-198646,0,-193940,0
214,-197770,0,-199572,0,-197770,0
215,-197360,0,-199150.5,0,-197360,0
216,-198250,0,-200649.5,0,-198250,0
217,2130,0,-177043,0,2130,0
218,-197950,0,-199592,0,-197950,0
219,-198010,0,-199686,0,-198010,0
220,-198150,0,-200991.5,0,-198150,0
221,1330,0,-188830.5,0,1330,0
222,2440,0,-38269,0,2440,0
223,2640,0,-100993,0,2640,0
224,-196400,0,-198567.5,0,-196400,0
225,-197530,0,-198298.5,0,-197530,0
226,1990,0,-148038.5,0,1990,0
227,1760,0,-167605.5,0,1760,0
228,-197410,0,-198629,0,-197410,0
229,-197570,0,-198499.5,0,-197570,0
230,-197570,0,-198652,0,-197570,0
231,-193900,0,-198133.5,0,-193900,0
232,2210,0,-118228,0,2210,0
233,2730,0,-148260,0,2730,0
234,-197410,0,-198623,0,-197410,0
235,-197220,0,-198344,0,-197220,0
236,-197530,0,-198634.5,0,-197530,0
237,3030,0,-169213.5,0,3030,0
238,2940,0,-138436.5,0,2940,0
239,2970,0,-149646.5,0,2970,0
240,1750,0,-168279,0,1750,0
241,-197580,0,-198110,0,-197580,0
242,1720,0,-188103,0,1720,0
243,2880,0,-187894,0,2880,0
244,-194790,0,-196696,0,-194790,0
245,2350,0,-158201,0,2350,0
246,-197140,0,-198092,0,-197140,0
247,-190510,0,-195949,0,-190510,0
248,3830,0,-27648.5,0,3830,0
249,-196370,0,-197732.5,0,-196370,0
250,-195890,0,-200574,0,-195890,0
251,-195120,0,-197597,0,-195120,0
252,-190170,0,-198095.5,0,-190170,0
253,3380,0,-88328.5,0,3380,0
254,2090,0,-177718.5,0,2090,0
255,-195660,0,-197887,0,-195660,0
256,1660,0,-177844.5,0,1660,0
257,3290,0,-178426,0,3290,0
258,-195030,0,-198071,0,-195030,0
259,3120,0,-107939,0,3120,0
260,-196820,0,-197819.5,0,-196820,0
261,3070,0,-137578,0,3070,0
262,2920,0,-18213.5,0,2920,0
263,2110,0,-188484,0,2110,0
264,2630,0,-189137,0,2630,0
265,2000,0,-187559,0,2000,0
266,-197400,0,-198251.5,0,-197400,0
267,3640,0,-108336,0,3640,0
268,2390,0,-118030,0,2390,0
269,2550,0,-138060,0,2550,0
270,-195960,0,-197603.5,0,-195960,0
271,2420,0,-188778,0,2420,0
272,3040,0,-147749,0,3040,0
273,2470,0,-127504,0,2470,0
274,2300,0,-58048.5,0,2300,0
275,2740,0,-7939.5,0,2740,0
276,-196410,0,-198089.5,0,-196410,0
277,-197330,0,-197907.5,0,-197330,0
278,-196280,0,-197753,0,-196280,0
279,-196260,0,-197929,0,-196260,0
280,2380,0,-167056.5,0,2380,0
281,-197600,0,-198354,0,-197600,0
282,-195680,0,-198739.5,0,-195680,0
283,-194500,0,-197218,0,-194500,0
284,2580,0,-187505,0,2580,0
285,-192730,0,-196205,0,-192730,0
286,-196170,0,-197742.5,0,-196170,0
287,-190340,0,-195358,0,-190340,0
288,-190080,0,-196763.5,0,-190080,0
289,-196020,0,-197867,0,-196020,0
290,-196970,0,-197715,0,-196970,0
291,-193390,0,-197287,0,-193390,0
292,-197050,0,-198450,0,-197050,0
293,2240,0,-147423.5,0,2240,0
294,-187840,0,-195184,0,-187840,0
295,-197480,0,-198169,0,-197480,0
296,-192500,0,-196097,0,-192500,0
297,1700,0,-178147.5,0,1700,0
298,3740,0,2735.5,0,3740,0
299,-196710,0,-198200.5,0,-196710,0
300,2760,0,-127175.5,0,2760,0
301,-194250,0,-198052.5,0,-194250,0
302,-196620,0,-198002,0,-196620,0
303,3750,0,-137123.5,0,3750,0
304,-187590,0,-194064.5,0,-187590,0
305,-197570,0,-198436.5,0,-197570,0
306,3930,0,-157172.5,0,3930,0
307,-196910,0,-198027.5,0,-196910,0
308,-197210,0,-198258,0,-197210,0
309,1340,0,-167896,0,1340,0
310,-186640,0,-195714.5,0,-186640,0
311,-196980,0,-198702,0,-196980,0
312,2010,0,-157892.5,0,2010,0
313,2720,0,-168294.5,0,2720,0
314,-196540,0,-198227.5,0,-196540,0
315,2160,0,-187622.5,0,2160,0
316,1570,0,-179141.5,0,1570,0
317,1190,0,-188513,0,1190,0
318,3370,0,-27886,0,3370,0
319,-197760,0,-198274.5,0,-197760,0
320,-196960,0,-197991,0,-196960,0
321,1630,0,-168387.5,0,1630,0
322,2240,0,-189012,0,2240,0
323,3070,0,-178239,0,3070,0
324,-189850,0,-196663.5,0,-189850,0
325,-196630,0,-197635.5,0,-196630,0
326,1740,0,-137867.5,0,1740,0
327,-196480,0,-198573.5,0,-196480,0
328,-196740,0,-198007,0,-196740,0
329,3360,0,-107756.5,0,3360,0
330,3550,0,-77454.5,0,3550,0
331,2350,0,-188123.5,0,2350,0
332,1930,0,-179244.5,0,1930,0
333,2470,0,-187751,0,2470,0
334,2250,0,-138282,0,2250,0
335,-197270,0,-198351,0,-197270,0
