Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-1870,0,-1971,0,-1870,0
1,800,0,-1637,0,800,0
2,4490,0,-572,0,4490,0
3,1550,0,-816,0,1550,0
4,-430,0,-1743,0,-430,0
5,-1710,0,-1846,0,-1710,0
6,-1950,0,-1950,0,-1950,0
7,2990,0,-357,0,2990,0
8,1510,0,-1204,0,1510,0
9,-1350,0,-1794,0,-1350,0
10,-1950,0,-1950,0,-1950,0
11,4090,0,-311,0,4090,0
12,-1370,0,-1646,0,-1370,0
13,-1690,0,-1876,0,-1690,0
14,620,0,-1558,5,0,620,0
15,420,0,-1496,0,420,0
16,2760,0,747,5,0,2760,0
17,-1950,0,-1950,0,-1950,0
18,610,0,-1772,0,610,0
19,6860,0,1130,0,6860,0
20,3130,0,-194,0,3130,0
21,3240,0,-1060,5,0,3240,0
22,1190,0,-1318,0,1190,0
23,3720,0,-173,5,0,3720,0
24,-1950,0,-1950,0,-1950,0
25,1890,0,-1308,5,0,1890,0
26,-1950,0,-1955,0,-1950,0
27,2040,0,-1161,0,2040,0
28,-1930,0,-1930,0,-1930,0
29,520,0,-1273,0,520,0
30,1100,0,-905,5,0,1100,0
31,320,0,-1416,0,320,0
32,-1950,0,-1950,0,-1950,0
33,4440,0,-199,0,4440,0
34,1080,0,-1629,0,1080,0
35,-1950,0,-1950,0,-1950,0
36,-970,0,-1734,0,-970,0
37,-1570,0,-1878,0,-1570,0
38,-610,0,-1601,0,-610,0
39,-1670,0,-1837,0,-1670,0
40,-1750,0,-1850,0,-1750,0
41,-1630,0,-1696,0,-1630,0
42,-1950,0,-1950,0,-1950,0
43,-730,0,-1627,0,-730,0
44,1560,0,-1340,0,1560,0
45,-1950,0,-1950,0,-1950,0
46,-1950,0,-1950,0,-1950,0
47,470,0,-428,5,0,470,0
48,-1950,0,-1950,0,-1950,0
49,-670,0,-1048,0,-670,0
50,-1690,0,-1740,0,-1690,0
51,-1650,0,-1702,0,-1650,0
52,-1290,0,-1917,0,-1290,0
53,-1710,0,-1906,0,-1710,0
54,-1950,0,-1950,0,-1950,0
55,-1570,0,-1692,0,-1570,0
56,-1930,0,-1930,0,-1930,0
57,-1950,0,-1950,0,-1950,0
58,-1610,0,-1679,0,-1610,0
59,-1490,0,-1808,0,-1490,0
60,-1930,0,-1930,0,-1930,0
61,-810,0,-1893,0,-810,0
62,-770,0,-1744,0,-770,0
63,-1950,0,-1950,0,-1950,0
64,-1810,0,-1943,0,-1810,0
65,730,0,-1354,0,730,0
66,440,0,-1260,5,0,440,0
67,-1950,0,-1950,0,-1950,0
68,-1950,0,-1950,0,-1950,0
69,-1630,0,-1904,0,-1630,0
70,-1590,0,-1704,0,-1590,0
71,-1950,0,-1950,0,-1950,0
72,2790,0,-795,0,2790,0
73,6050,0,2732,5,0,6050,0
